رقم البيت,التعبير البلاغي,العنصر البلاغي
28,تجرّ وراءنا,كناية
28,أذيال مرط مرحّل,تشبيه
28,توزيع,توزيع عناصر الثوب (أذيال – مرط) لإظهار جماله وطوله وتفصيله.
29,أجزنا ساحة الحي,كناية
29,بطن خبت,استعارة
29,قفاف عقنقل,مبالغة
30,هصرتُ بفُودَي رأسها,كناية
30,تمايلت عليّ,استعارة
30,هضيم الكشح,مبالغة
31,مهفهفة بيضاء,مبالغة
31,كالسَّجَنْجَل,تشبيه
31,توزيع,توزيع الصفات بين اللون واللمعان لإبراز جمالها من أكثر من زاوية.
32,تصُدّ وتُبدي,طباق إيجاب
32,كناية,كناية عن وجهها أو خدّها الناعم المشرق دون ذكره مباشرة.
32,ناظرة من وحش وجرة,تشبيه
32,توزيع,"توزيع للصورة بين ""النظرة"" و""الوحش المطفل"" لإكمال المشهد الجمالي بملامح الرقة والخجل."
33,كجيد الرئم,تشبيه
33,ليس بفاحش ولا بمعطّل,طباق إيجاب
33,جناس التصريف,تقارب لفظي بين (فاحش – معطّل) في الوزن والصيغة مع اختلاف الحروف والمعنى.
34,غدائر مستشزرات إلى العلا,مبالغة
34,تضلّ العقاص,استعارة
34,توزيع,توزيع لحالات الشعر بين المضفور (مثنّى) والمنسدل (مرسل) لبيان تنوّع جماله وتفصيله.
35,كالجَديل,تشبيه
35,كأنبوب السقي المذلّل,تشبيه
35,مقابلة,تقابل بين وصف الخصر والساق لإبراز جمال متكامل في موضعين مختلفين من الجسد.
36,فَتِيتُ المِسْك فوق فراشها,استعارة
36,نؤوم الضحى,كناية
36,لم تنتطق عن تفضّل,كناية
37,تعطو برخص غير شثن,كناية
37,كأساريع ظبي,تشبيه
37,مساويك إسحل,تشبيه
37,توزيع,توزيع لصورتين من الطبيعة (الحيوان – النبات) لتقوية وصف جمال اليدين ودقّتهما.
38,تُضيء الظلام,استعارة
38,كمنارة ممسى راهب,تشبيه
38,توزيع,توزيع عناصر الصورة بين المنارة والراهب لإضفاء القداسة والوقار على شدة الضوء.
39,يرنو الحليم صبابة,كناية
39,بين درع ومجول,طباق إيجاب
39,مبالغة,مبالغة في شدّة التعلّق والانجذاب إليها.
40,كبكر المقاناة البياض بصفرة,تشبيه
40,غذاها نمير الماء,استعارة
41,تسلّت عمايات الرجال,كناية
41,ليس… بمنسلي,طباق سلب
41,مبالغة,"مبالغة في بيان شدّة التعلّق، إذ يجعل قلبه غير قادر على الانسلال من حبّها مهما تغيّر هو."
42,خصم… ألْوَى رددته,كناية
42,نصيح غير مؤتلي,مبالغة
42,مقابلة,تقابل بين الخصم الذي يلوّي ويُكثر اللوم وبين الشاعر الذي لا يضعف ولا يتراجع.
43,ليلٍ كموج البحر,تشبيه
43,ملقٍ سدوله,استعارة
43,ليبتلي,مبالغة
44,تمطّى بصلبه,استعارة
44,أردف أعجازًا وناءَ بكلكل,استعارة
44,جناس الاشتقاق,تقارب اشتقاقي بين الأفعال الثلاثة يعطي إيقاعًا قويًا ويؤكد صورة الثقل والامتداد.
45,ألا أيها الليل… انجلي,تضمين (جريان)
45,الليل الطويل,استعارة
45,ليس الإصباح فيك بأمثل,الرجوع
46,كأنّ نجومه,تشبيه
46,شدّت بيذبل,استعارة
46,جناس الاشتقاق,"تقارب اشتقاقي بين ألفاظ تدل على الفتل والشدّ، مما يكوّن إيقاعًا واحدًا للصورة المتخيَّلة."
47,كأنّ الثريا عُلّقت,تشبيه
47,بأمراس كتان إلى صم جندل,استعارة
47,توزيع,توزيع عناصر الصورة بين الحبال والصخور لتقوية المشهد وتشبيه إحكام النجوم بإحكام الربط.
48,قِرْبَةِ أقوام جعلتُ عصامَها,كناية
48,كاهلٍ مني ذلول مرجّل,استعارة
48,توزيع,توزيع لأجزاء الصورة بين القربة وعصامها والكاهل لإبراز ثقل الحمل وتفصيله.
49,كجوف العير,تشبيه
49,يعوي كالخليع المعيّل,تشبيه
49,توزيع,توزيع بين صوت الذئب وصوت الإنسان المضطرب لزيادة قوّة الصورة الموحشة.
50,لما عوى,كناية
50,طويل العَنا,مبالغة
50,عَوَى / العَنا,جناس التصريف
51,نال شيئًا أفاته,كناية
51,حرثي وحرثك,جناس الاشتقاق
51,مبالغة,"مبالغة في تصوير شدة الفقر والضيق، حتى إنّ من يحرث لهما يَهْزُل من قلّة العائد."
52,الطيور في وُكُناتها,كناية
52,قيد الأوابد هيكل,استعارة
53,مكرّ مفرّ مقبل مدبر معاً,جناس التصريف
53,كجلمود صخر حطه السيل,تشبيه
54,يزل اللبد عن حال متنه,استعارة
54,كما زلّت الصفواء,تشبيه
55,كأن اهتزامه,تشبيه
55,حمى غلي مرجل,استعارة
55,مبالغة,مبالغة لتصوير قوة وتأثير الحركة على من يراه أو يمر به.
56,السابحات على الوَنى,تشبيه
56,أثرن الغبار بالكديد المركّل,استعارة
56,توزيع,توزيع بين الحركة وتأثيرها على البيئة لإبراز حيوية المشهد وديناميكيته.
57,يزل الغلم الخف عن صهواته,استعارة
57,يلوي بأثواب العنيف المثقل,استعارة
57,مقابلة,تقابل بين الخف والخفة وبين الثقل والالتواء لإبراز التناقض الحركي والجمالي.
58,كخذروف الوليد أمره,تشبيه
58,تتّابع كفّيه بخيط موصل,استعارة
58,توزيع,توزيع عناصر الحركة بين الجسم والخيط لإظهار انسجام الحركة وتفصيلها بدقة.
59,أيطلا ظبي وساقا نعامة,تشبيه
59,إرخاء سرحان وتقريب تتفل,استعارة
59,توزيع,توزيع بين الحيوانين لتقوية الصورة البصرية وإبراز التناسق والرشاقة في الشكل.
60,إذا استدبرته سد فرجه,استعارة
60,بضاف فوّيق الأرض,مبالغة
60,مقابلة,تقابل بين الفعل والاستجابة لإبراز الحماية والحذر والتوازن بين القوة والمرونة.
61,سراته لدى البيت قائمًا,تشبيه
61,مداك عروس أو صلایة حنظل,استعارة
61,توزيع,توزيع بين الثبات (الوسط) والطول (المداك) لإبراز التناسق الكلي بين القوة والجمال.
62,دماء الهاديات بنحره,تشبيه
62,عصارة حناء بشيب مرجل,استعارة
62,توزيع,توزيع الصورة بين الدماء والعصارة لإبراز الشدة واللون والتأثير البصري.
63,سرب كأنّ نِعاجه,تشبيه
63,عذارى دوّار في ملاءٍ مذيّل,استعارة
63,توزيع,توزيع عناصر الصورة بين الحيوان (النعاج) والبشر (العذارى) لإبراز تشابه الحركة والتنظيم.
64,كالجَزْع المفصل بينه,تشبيه
64,بجيد معمّ في العشيرة مخول,استعارة
64,توزيع,توزيع بين الجذع والرشاقة لإظهار التناسق بين القوة والحركة الانسيابية.
65,ألحقه بالهاديات,كناية
65,جواهرها في صرّة,استعارة
65,توزيع,توزيع بين الحيوان (الهادِيات) والأشياء الثمينة (الجواهر) لإبراز التنظيم والقيمة.
66,عادى عداً بين ثور ونعجة,استعارة
66,لم يُنضح بماء,مبالغة
66,مقابلة,تقابل بين الحيوانين المختلفين لإبراز التضاد والقوة والضعف في الصراع.
67,ظلّ طهاة اللحم من بين منضج,كناية
67,صفيف شواء أو قدير معجّل,توزيع
67,مبالغة,"مبالغة في كثرة الطعام ووفرة الاستعداد، للدلالة على الفخامة والوفرة."
68,يكاد الطرف يقصر دونه,استعارة
68,ترقّ العين فيه تسهّل,كناية
68,مقابلة,تقابل بين الحد الأعلى للرؤية والقدرة على الملاحظة لإبراز امتداد المكان وتدرج الرؤية.
69,بات عليه سرجه ولجامه,استعارة
69,بات بعيني قائمًا,كناية
69,توزيع,توزيع بين عناصر الفرس (السرج واللجام) والعين لتقوية الصورة وإبراز التماسك بين الأدوات والحركة.
70,ترى برقًا أرِيك وميضه,استعارة
70,كلمع اليدين,تشبيه
70,توزيع,توزيع بين العنصر الطبيعي (البرق) والحركة البشرية (لمع اليدين) لإضفاء جمالية المشهد وتفصيله.
71,يضيء سناه أو مصابيح راهب,تشبيه
71,أمال السليط بالذّبال المفصل,استعارة
71,توزيع,توزيع عناصر الصورة بين الضوء والحركة لإبراز الجمال والتوازن في الصورة.
72,بين ضارج,كناية
72,بين العذيب بعد ما متأمل,استعارة
72,توزيع,توزيع بين عناصر المكان لتوضيح الانتشار المكاني والبعد بين الشخص والمشهد.
73,على قطناً بالشيم أيمن صوبه,كناية
73,أيّسره على الستار فيذبل,استعارة
73,توزيع,توزيع بين جزء الجسم (القطن) والحركة (الستار) لإبراز توازن الشكل والحركة.
74,يسحّ الماء حول كتيفة,استعارة
74,يكب على الأذقان دوح الكنهبُل,تشبيه
74,توزيع,توزيع بين الماء ودوح الكنهبُل لإبراز كثافة الجريان وتأثيره على الجسم والمشهد.
75,مرّ على القنان من نفياه,استعارة
75,أنزل منه العُصم,كناية
75,توزيع,توزيع بين مصدر الحركة وتأثيرها على المنازل لإبراز الانسياب والتأثير المتسلسل.
76,لم يترك جذع نخلة,كناية
76,مشيد بجندل,استعارة
76,مبالغة,مبالغة في تصوير قوة الرياح أو المطر وتأثيره على كل ما في المكان.
77,كأن ثبيرًا في عراني وبله,تشبيه
77,كبير الناس في بجاد مزمّل,تشبيه
77,مقابلة,مقابلة بين الصغير والكبير لإبراز التناقض والفارق في الحجم أو التأثير.
78,ذرَا رأس المجيمر غدوة,تشبيه
78,فلكة مغزل,استعارة
78,توزيع,توزيع بين العنصر الصغير المنتشر (الذرّ) والحركة المنظمة (الفلكة) لإبراز النظام والجمال في الصورة.
79,ألْقى بصحراء الغبيط بعاعه,استعارة
79,نزول اليَمَاني ذي العياب المحمّل,تشبيه
79,توزيع,توزيع بين الفعل (نثر / إلقاء) والعنصر الطبيعي لتقوية الصورة وإبراز كثافة الحركة.
80,كأن مكاكي الجواء غدية,تشبيه
80,صبحن سلافًا من رحيق مفلفل,استعارة
80,توزيع,توزيع بين الحيوان والعنصر الطبيعي لإبراز الحيوية والانسيابية في المشهد.
81,كأنّ السباع غرقى عشية,تشبيه
81,أنابيش عنصل,استعارة
81,توزيع,توزيع بين الحيوان وحركته لتوضيح كثافة التواجد والفوضى في المكان.
