portion_1:
"""
1 | آلي  | أسلوب إنشائي (نداء), كناية, مبالغة

2 | آلي  | استعارة, كناية, طباق سلب
2 | يدوي | استعارة
12 | يدوي | استعارة, كناية, استعارة, استعارة, مقابلة, كناية

13 | آلي  | كناية, صوّر الظباء كأنها منزهة من الغضب أو النفور، تشخيصًا لنعومتها وطمأنينتها., تقارب صرفي يعطي جرْسًا لفظيًا متناغمًا.
13 | يدوي | مجاز, كناية, استعارة, كناية

14 | آلي  | كناية, صوّر حركته في الجري كأنه يُوزَّع ويوجَّه كما تُوجَّه ضربات الطعن، تشخيصًا للقوة والاندفاع., تقارب صوتي مع اختلاف في بنية الكلمة، يمنح البيت جرْسًا متوازناً.
14 | يدوي | مجاز, تشبيه, كناية, كناية

15 | آلي  | تشبيه, كناية عن شدّة سرعة السهم أو المِدرى ودقّته دون ذكر مشهد مؤذٍ., تقارب في البنية الصرفية يعطي جرْسًا صوتيًا متناغمًا في المعنى والحركة.
15 | يدوي | تشبيه, التهكم, المشاكلة, كناية, طباق

"""

portion_4:
"""
16 | آلي  | تشبيه, كناية عن شدة بروز العظم أو السهم بحيث يشبه شيئًا معدنيًا بارزًا., تقارب صرفي في الوزن والإيقاع يمنح البيت جرْسًا متناغمًا.
16 | يدوي | تشبيه, كناية, مجاز

17 | آلي  | كناية, صوّر اختباره لصلابة القرن (الرّوق) بفعل "يعجم" وكأنه يختبر طعم الشيء أو جوهره، تشخيصًا للقوة والتحقق., تقابل بين الصدق (الصحة والاستقامة) ونفي العِوَج (غير ذي أوَد) لتأكيد تمام الصلابة.
17 | يدوي | استعارة, كناية

18 | آلي  | طباق سلب, كناية عن شدّة الهلاك والسقوط المفاجئ لصاحبه., توسيع للمعنى بذكر عدة ألفاظ مترابطة (السبيل، العقل، القود) لبيان انسداد جميع الخيارات.
18 | يدوي | استعارة, التهكم, تضمين (جريان)

19 | آلي  | استعارة, تقابل بين السلامة و الصّدّ مع نفيهما، لإبراز انعدام الحماية من المولى., كناية عن اليأس التام وغياب الأمل في النجاة أو الفعل.
19 | يدوي | كناية, المراجعة, استعارة, مجاز, التهكم, استعارة, كناية, كناية, التفات

20 | آلي  | طباق إيجاب, كناية عن السعي للوصول إلى كرم النعمان ومكانته., مبالغة في مدح النعمان ببيان علوّ فضله على جميع الناس.
20 | يدوي | طباق

"""

portion_5:
"""
21 | آلي  | طباق سلب, مبالغة في نفي وجود من يماثله بين الناس., كناية عن التعميم الكامل؛ أي أنه لا يستثني أحداً من المقارنة، مما يعظّم الفضل.
21 | يدوي | مبالغة

22 | آلي  | طباق سلب, كناية عن المكانة العظيمة لسليمان وأن أمره نافذ في البرية كلها بأمر الله., صوّر تسخير البرية وجمعها وضبطها كما تُعدّ الأشياء وتُحصر، وهو تشخيص للسيطرة والإحكام.
22 | يدوي | المراجعة

23 | آلي  | استعارة, كناية عن شدّة البناء وتنظيمه، فالصّفاح والعمد يرمزان للقوة والمتانة في البناء., توسّع في المعنى بإظهار نفوذ الأمر الإلهي على جميع الجهات دون استثناء.

24 | آلي  | تكرار, كناية عن أثر الطاعة وفائدتها، أي أن طاعته تجلب له الخير والهداية., صوّر الإرشاد للهداية كأنّه فعل ملموس يُقود الإنسان إلى الرشد، لتجسيد معنى التوجيه.
24 | يدوي | اشتقاق, تكرار (عام), كناية, تشبيه, مقابلة

25 | آلي  | استعارة, تقابل بين العقاب وعدم الجلوس على الجروح (الضماد) لإبراز شدة العقوبة ومنع الظلم من الاستمرار., توسعة المعنى بإظهار أن العقوبة شاملة لكل من عصى، أي التأكيد على ردع كل المخالفين.
25 | يدوي | اشتقاق, كناية, كناية

"""

portion_6:
"""
26 | آلي  | تشبيه, تقابل بين التفوّق والاستثناء لإبراز التفرد والسبق على غيره., صوّر السيطرة أو الاستيلاء على المكان أو الوقت كأنه ملك ملموس، لتجسيد القوة والانفراد.
26 | يدوي | مبالغة, كناية, الرجوع, اشتقاق, استعارة, استعارة, تشبيه, تشبيه, استعارة, كناية

27 | آلي  | طباق سلب, كناية عن اللطف والجمال في العطاء، أي أن العطاء يكون مصحوبًا بالبهجة والجمال., توسيع المعنى بإظهار أن الهبة ليست منفردة بل مصحوبة بتبعات جميلة تزيد من قيمتها.
27 | يدوي | كناية, استعارة, كناية, اشتقاق, التفات, كناية

28 | آلي  | مبالغة, صوّر الزينة كأنها تصرف ظاهر على الأوبار، لتجسيد الجمال والبهاء بشكل محسوس., شبّه وضوح الزينة في الأوبار بالعلو والظهور، لإبراز جمالها وشدّة بروزها.
28 | يدوي | كناية, مجاز, استعارة, كناية

29 | آلي  | كناية, صوّر الحبال والفُتل كأنها مشدودة ومهيأة بعناية كأنها شخص ينفذ العمل، لتجسيد التنظيم والترتيب., توسعة المعنى بإظهار تضافر الجهود في ضبط وترتيب الخيام أو المعدات.
29 | يدوي | كناية, استعارة, كناية

30 | آلي  | تشبيه, صوّر الريط والبرد كعامل يوجه أو يحرك الذيول، لتجسيد تأثير الظروف الطبيعية على الحركة., تقابل بين الحيوان والراكضات لإبراز السرعة والخفة، مع الإيجابية في الحركة والانسياب.
30 | يدوي | استعارة, مجاز, مجاز, كناية, تشبيه

"""

portion_7:
"""
31 | آلي  | تشبيه, كناية عن شدة الحركة وسرعة الانقضاض، أي أن الخيول تتحرك بعنف وانسيابية في الميدان., صوّر السهام أو الطلقات كأنها برد يضرب الأجساد، لتجسيد الخطر الذي تنجو منه الخيول.
31 | يدوي | تشبيه

32 | آلي  | تشبيه, صوّر الحمام كأنه قابل للثَمَد أو المراقبة، لتجسيد الانتباه واليقظة., توسعة المعنى بإظهار علاقة النظر بالحكم، أي أن الحكم يتأثر بالانتباه والملاحظة الدقيقة.
32 | يدوي | تشبيه, كناية, اشتقاق

33 | آلي  | تشبيه, كناية عن نقاء الشيء أو عدم تلونه بالضرر، أي أنه صافٍ وواضح دون شوائب., صوّر الحركة كأنها حافة محكمة تلتف حول الشيء، لتجسيد الحذر والانتباه في المراقبة.
33 | يدوي | كناية, مجاز, مجاز, تشبيه

34 | آلي  | أسلوب إنشائي (تمني), شبّه مشاركة الحمام بنصيب مشترك مع الزوجة أو المقربين، لتصوير القرب والمشاركة في المنفعة., توسيع المعنى بإظهار امتداد التمني ليشمل جزءًا من الحمام، أي التفصيل في الرغبة.
34 | يدوي | الحذف, اشتقاق, المراجعة

35 | آلي  | مبالغة, توسيع المعنى بإظهار العملية الحسابية المزدوجة، أولاً بالحساب ثم بالتأكيد., كناية عن التأكد والثقة في الحساب، أي أن النتيجة دقيقة وصحيحة كما توقع.
35 | يدوي | اشتقاق, طباق

"""

portion_8:
"""
36 | آلي  | مبالغة, توسيع المعنى بإظهار السرعة في الحساب إلى جانب الكمال في العدد., كناية عن اكتمال المجموعة أو المجموع بما فيها من العناصر، أي أن كل شيء محسوب بدقة.

37 | آلي  | قسم, صوّر ما تم هريقه أو أُهدر كأنه على الأنصاب، لتجسيد الضرر والدمار الواقع., توسعة المعنى بإظهار تصرف الشاعر/الفعل على مستويات مختلفة (القدم/الجسد)، لتأكيد التأثير.
37 | يدوي | كناية, اشتقاق, تضمين (جريان)

38 | آلي  | استعارة, شبّه الطير بالعائذات، لتصوير الرقة والخفة والقدرة على التحرك بسهولة., توسيع المعنى بتحديد المسافة بين نقطتين لتأكيد الانتشار والتحرك بينهما.
38 | يدوي | كناية, كناية

39 | آلي  | كناية, صوّر رفع السوط كرمز للغضب أو العقاب، لتجسيد التهديد والسيطرة بدون الفعل الفعلي., تقابل بين القول والفعل المهدد لنفي الفعل وتأكید الامتناع عن العقاب.
39 | يدوي | مجاز, كناية, كناية, استعارة, اشتقاق

40 | آلي  | استعارة, كناية عن المعاناة والمشقة التي سببها قول هؤلاء الأقوام., توسيع المعنى بتكرار الفعل والاسم لإبراز أثر القول على النفس.
40 | يدوي | تكرار (عام), تشبيه, كناية

"""

portion_9:
"""
41 | آلي  | استعارة, كناية عن الرضا والسكينة النفسية لمن يحل محل المخطئ أو يرد الحقوق., تقابل بين العقاب والرضا لإبراز التناقض بين الجزاء والمكافأة.
41 | يدوي | اشتقاق, كناية, التفات

42 | آلي  | تشبيه, كناية عن تأكيد الوعد وتأكيد الاطمئنان للخبر الوارد., توسيع المعنى بإظهار عملية الإعلام بالخبر والوعد، أي التأكيد المتعدد للخبر.
42 | يدوي | تشبيه, كناية

43 | آلي  | مبالغة, تقابل بين العطاء والإثم (عدم الحصول على مردود) لنفي أي نقصان، لإظهار كمال العطاء., توسيع المعنى بذكر الناس والمال والولد لتأكيد شمول العطاء وتمامه.
43 | يدوي | استعارة

44 | آلي  | استعارة, كناية عن كثرة محاولات الأعداء في الإيقاع به، أي أنهم يهددونه بأساليب متعددة., تقابل بين القذف والحماية/التهديد لإبراز التناقض بين القوة والضعف.
44 | يدوي | استعارة, كناية, استعارة

45 | آلي  | استعارة, كناية عن قوة الفرات وسرعة جريانه عند امتلاء الغور أو الارتفاع المفاجئ للمياه., شبّه أثر الماء المتحرك بالغضب والقوة المتطايرة، لتصوير شدة الموج والحركة.
45 | يدوي | استعارة, مجاز, استعارة, استعارة, مجاز, كناية, تشبيه

"""

portion_10:
"""
46 | آلي  | استعارة, كناية عن وفرة الماء والموارد في كل وادٍ، لتأكيد شمولية الامتداد والطاقة الطبيعية., توسعة المعنى بإظهار الدور الشامل لكل واد في إمداد الجب، أي شمولية القوة والطاقة.
46 | يدوي | مجاز

47 | آلي  | استعارة, كناية عن أثر الخوف على التصرف، أي أن الخوف يسيطر على كل حركاته وسلوكه., توسعة المعنى بتحديد الأماكن التي يمتد إليها الخوف، لتأكيد شمولية الفزع والارتجاف.
47 | يدوي | مجاز

48 | آلي  | مبالغة, تقابل بين العطاء اليوم والغد لنفي التقييد، لإبراز استمرارية الكرم وعدم نفاد العطاء., توسيع المعنى بذكر اليوم والغد لتأكيد ديمومة العطاء.
48 | يدوي | استعارة, استعارة

49 | آلي  | كناية, تقابل بين الاستقبال الإيجابي للثناء ونفي اللعن، لإبراز حسن النية وعدم الرد السلبي., صوّر رفض اللعن والرد السلبي كحماية محكمة، كما يُقيّد بالسّيف أو الصّفد.
49 | يدوي | طباق, كناية

50 | آلي  | كناية, تقابل بين النفع والنكد لإبراز التضاد بين الخير والشر، أي أن صاحبها يشترك في السوء إذا لم يكن نافعًا., استخدم للتنبيه والتأكيد على أهمية العذرة وفائدتها.
50 | يدوي | كناية, تجريد, كناية

"""
