البيت,التعبير البلاغي,العنصر البلاغي المستعمل
12,صَعُبَت وَراضَ المَزجُ سَيِّءَ خُلقِها فَتَعَلَّمَت مِن حُسنِ خُلقِ المَاءِ,استعارة
12,سَيِّءَ خُلقِها,كناية
12,حُسنِ خُلقِ المَاءِ,كناية
12,سَيِّءَ خُلقِها حُسنِ خُلقِ المَاءِ,طباق
12,سَيِّءَ خُلقِها حُسنِ خُلقِ المَاءِ,طباق
13,يَلعَبُ بِالعُقولِ حَبابُها,استعارة
13,يَلعَبُ كَتَلَعُّبِ,اشتقاق
13,يَلعَبُ بِالعُقولِ حَبابُها كَتَلَعُّبِ الأَفعالِ بِالأَسمَاءِ,تشبيه
13,كَتَلَعُّبِ الأَفعالِ,المشاكلة
13,خَرقاءُ,تشبيه
13,خَرقاءُ,كناية
14,وَضَعيفَةٌ الضُّعَفَاءِ,رد الأعجاز على الصدور
14,وَضَعيفَةٌ فَإِذا أَصابَت فُرصَةً قَتَلَت,استعارة
15,جَهمِيَّةُ الأَوصافِ,تشبيه
15,جَوهَرَ الأَشْيَاءِ,تورية
16,بَهجَتَها وَبَهجَةَ كَأسِها,تكرار (عام)
16,نارٌ وَنورٌ,جناس
17,بِكرٌ,استعارة
17,أُطبِقَت حَبَلا,استعارة
18,وَمَسافَةً كَمَسافَةِ الهَجرِ اِرتَقى في صَدرِ باقي الحُبِّ وَالبُرَحَاءِ,تشبيه
19,بيدٌ لِنَسلِ العيدِ,كناية
19,العيدِ عيدٍ,جناس
19,عيدٍ عُدَوَاءِ,جناس
19,بيدٌ العيدِ,جناس
19,أُملودِها,كناية
19,العيدِ عُدَوَاءِ,رد الأعجاز على الصدور
20,مَزَّقتُ ثَوبَ عُكوبِها بِرُكوبِها,استعارة
20,عُكوبِها بِرُكوبِها,جناس
20,وَالنَّارُ تَنبُعُ مِن حَصى المَعْزَاءِ,كناية
20,وَالنَّارُ تَنبُعُ,استعارة
21,اِعتَدَت بي هِمَّةٌ,مجاز
21,اِعتَدَت وَقَفَت,طباق
22,غَذَوتَ مَوَدَّتي بِالبِشرِ,استعارة
22,وَجهَ ثَنَائي,استعارة
22,وَجهَ ثَنَائي,تورية
23,أَنبَطتُ في قَلبي لِوَأيِكَ مَشرَعاً ظَلَّت تَحومُ عَلَيهِ طَيرُ رَجَائي,استعارة
24,فَثَوَيتُ جاراً لِلحَضيضِ,كناية
24,فَثَوَيتُ جاراً,استعارة
24,وَهِمَّتي قَد طُوِّقَت بِكَواكِبِ الجَوْزاءِ,استعارة
24,وَهِمَّتي قَد طُوِّقَت بِكَواكِبِ الجَوْزاءِ,كناية
24,فَثَوَيتُ جاراً لِلحَضيضِ وَهِمَّتي قَد طُوِّقَت بِكَواكِبِ الجَوْزاءِ,مقابلة
25,مَغارِسي وَمَنابِتي,استعارة
25,إِطرَح غَناءَكَ في بُحورِ عَنَائي,استعارة
25,غَناءَكَ عَنَائي,جناس
26,لِقَولِكَ فِعلِكَ,طباق
26,يَسِّر لِقَولِكَ مَهرَ فِعلِكَ إِنَّهُ يَنوي اِفتِضاضَ صَنيعَةٍ عَذرَاءِ,استعارة
27,وَرَفَعتُ لِلمُستَنشِدينَ لِوَائي,استعارة
28,وَإِذا تَشاجَرَتِ الخُطوبُ قَرَيتَها جَدَلاً يَفُلُّ مَضارِبَ الأَعْداءِ,استعارة
28,قَرَيتَها جَدَلاً,استعارة
29,الأُدَباءِ وَالظُرَفاءِ الشُعَراءِ وَالخُطَبَاءِ,التقسيم
29,غايَةَ,استعارة
30,حَياً,استعارة
30,حَياً وَحياء,جناس
30,يَحيى وَحَوى حَياً وَحياء,جناس
30,يَحيى وَحياء,رد الأعجاز على الصدور
30,سَنَّ النَدى,استعارة
