البيت,التعبير البلاغي,العنصر البلاغي المستعمل
15,طعْنَ المُبيطرِ، إذ إذ يَشفي يَشفي من من العَضَدِ العَضَدِ,التهكم
15,طعْنَ المُبيطرِ،,المشاكلة
15,المُبيطرِ،,كناية
15,طعْنَ المُبيطرِ، إذ يَشفي من العَضَدِ شكّ الفَريصةَ بالمِدرى، فأنفَذَها،,طباق
16,كأنّه، خارجاً من جنب صفحته، سفّودُ شَرْبٍ نسوهُ عند مُفتأدِ,تشبيه
16,مُفتأدِ,كناية
16,صفحته،,مجاز
17,صَدقٍ,استعارة
17,حالك اللون,كناية
18,صاحبهِ,استعارة
18,ولا ولا سبيل سبيل إلى عقلٍ، ولا قودِ,التهكم
19,قالت له النفس: إني لا أرى طمعاً ، وإن مولاك لم يسلم، ولم يصدِ,كناية
19,قالت قالت له له النفس: النفس: إني لا أرى طمعاً ، وإن مولاك لم يسلم، ولم يصدِ,المراجعة
19,قالت له النفس:,استعارة
19,قالت له النفس:,مجاز
19,قالت له النفس: إني لا أرى طمعاً ، وإن مولاك لم يسلم، ولم يصدِ,التهكم
19,مولاك,استعارة
19,مولاك,كناية
19,لم يسلم،,كناية
19,قالت له النفس: إني وإن مولاك,التفات
20,الأدنى البَعَدِ,طباق
21,ولا أرى فاعلاً ، في الناس ، يُشبهه ، ولا أُحاشي، من الأقوام، من أحدِ,مبالغة
24,أطاعك ، بطاعتهِ,اشتقاق
24,أطاعك ، أطاعك،,تكرار (عام)
24,فانفَعهُ,كناية
24,فانفَعهُ بطاعتهِ كما أطاعك،,تشبيه
25,فعاقبْهُ معاقبة ً,اشتقاق
25,تنهى الظلوم،,كناية
25,ولا تقعد,كناية
26,أو مَنْ أنت سابقُهُ سبق الجواد، إذا استولى على الأمَدِ,مبالغة
26,إلا لمثلك،,كناية
26,إلا لمثلك، أو مَنْ أنت سابقُهُ سبق الجواد، إذا استولى على الأمَدِ,الرجوع
26,سابقُهُ سبق,اشتقاق
26,استولى,استعارة
26,استولى على الأمَدِ,استعارة
26,سابقُهُ سبق الجواد، إذا استولى على الأمَدِ,تشبيه
26,إلا لمثلك،,تشبيه
26,أو مَنْ أنت سابقُهُ,استعارة
26,الجواد،,كناية
27,لفارهةٍ،,كناية
27,حلوٍ توابعها،,استعارة
27,لا تعطى على نَكَدِ,كناية
27,أعطى تعطى,اشتقاق
27,وقفت فعَدّ عَمّا ترى وانمِ القُتُودَ,التفات
27,توابعها، من المواهب,كناية
28,المائة المعكاء،,كناية
28,زيّنها سعدانُ,مجاز
28,زيّنها سعدانُ ((توضح)) في أوبارها اللّبَدِ,استعارة
28,في أوبارها اللّبَدِ,كناية
29,والأدْمَ,كناية
29,فُتلاً مرافقها,استعارة
29,فُتلاً مرافقها,كناية
30,ذيولَ الريط،,استعارة
30,والراكضاتِ ذيولَ الريط،,مجاز
30,فانقها بردُ الهواجرِ،,مجاز
30,والراكضاتِ,كناية
30,والراكضاتِ ذيولَ الريط، فانقها بردُ الهواجرِ، كالغزلان بالجرَدِ,تشبيه
31,والخَيل تمزغُ غرباً في أعنّتها، كالطير تنجو من الشؤبوب ذي البرَدِ,تشبيه
32,احكُمْ كحكم فتاة الحي، إذ نظرت إلى حمامِ شراعٍ ، وارد الثّمّدِ,تشبيه
32,فتاة الحي،,كناية
32,احكُمْ كحكم,اشتقاق
33,لم تكحلْ من الرُمَدِ,كناية
33,يحفّه جانبا نيقٍ،,مجاز
33,وتُتبِعُهُ مثل الزجاجة،,مجاز
33,وتُتبِعُهُ مثل الزجاجة،,تشبيه
34,فَقَدِ)),الحذف
34,الحمامُ حمامتنا,اشتقاق
34,قالت: (( ألا ليتما هذا الحمامُ لنا إلى حمامتنا ونصفُهُ، فَقَدِ)),المراجعة
35,فحسّبوه، حَسَبَتْ،,اشتقاق
35,لم تنقص ولم تَزِدِ,طباق
37,لعمرُ الذي مسّحتُ كعبته،,كناية
38,والمؤمنِ العائذاتِ الطّيرَ،,كناية
38,رُكبانُ مكَة,كناية
39,رفعت سوطي إليَّ يدي,مجاز
39,فلا رفعت سوطي إليَّ يدي,كناية
39,مما أُتيتَ به،,كناية
39,أُتيتَ به،,استعارة
40,مقالةَ مقَالتُهم,تكرار (عام)
40,قرعاً على الكَبِدِ,تشبيه
40,أقوامٍ,كناية
41,فعاقبني معاقبةً،,اشتقاق
41,قرّت بها عينُ,كناية
42,أُنبئتُ أن أبا قابوس أوعدني، ولا قرار على زأْرٍ من الأسَدِ,تشبيه
42,ولا قرار,كناية
43,أُثمّرُ من مالٍ ومنْ ولَدِ,استعارة
44,برُكْنٍ وإن تأثّفَكَ الأعداء,استعارة
44,الأعداء,كناية
44,لا تَقذفنَي برُكْنٍ,استعارة
45,جاشت,استعارة
45,ترمي أواذيُّهُ العبرينِ بالزّبَدِ,مجاز
45,جاشت غواربه,استعارة
45,ترمي أواذيُّهُ,استعارة
45,ترمي أواذيُّهُ العبرينِ بالزّبَدِ,مجاز
45,ترمي أواذيُّهُ العبرينِ بالزّبَدِ,كناية
46,يمُدّهُ كلُّ وادٍ,مجاز
47,بالخيزُرانةِ،,مجاز
48,يحولُ,استعارة
48,سيب نافلةٍ،,استعارة
49,الثَّناءُ، اللّعن،,طباق
49,أبيتَ اللّعن،,كناية
50,مشاركُ النّكَدِ,كناية
50,ها إن ذي عذرة إلا تكن نفعت، فإن صاحبها مشاركُ النّكَدِ,تجريد
50,صاحبها,كناية
221,من أحدِ من أحدِ,تكرار (عام)
2329,وخيّس خُيِّست،,تكرار (عام)
323436,حمامتها، حمامِ حمامتنا,تكرار (عام)
18,لما رأى ((واشقٌ)) إقعاص صاحبهِ ، قالت له النفس: إني لا أرى طمعاً ، ولا سبيل إلى عقلٍ، ولا قودِ وإن مولاك لم يسلم، ولم يصدِ,تضمين (جريان)
22,إلا سليمان ، إذ قال الإله له: وخيّس الجن! إني قد أذنت لهم فمن أطاعك ، فانفَعهُ بطاعتهِ ، ومن عصاك، فعاقبْهُ معاقبة ً إلا لمثلك، أو مَنْ أنت سابقُهُ قم في البرية، فاحدُدها عن الفَنَدِ يبنون تدمر بالصُّفّاح والعَمَدِ كما أطاعك، وادلُلْـهُ على الرّشَدِ تنهى الظلوم، ولا تقعد على ضَمَدِ سبق الجواد، إذا استولى على الأمَدِ,المراجعة
24,فمن أطاعك فانفَعهُ بطاعتهِ ومن عصاك، فعاقبْهُ معاقبة,مقابلة
37,مسّحتُ تمسحها,اشتقاق
37,فلا لعمرُ الذي مسّحتُ كعبته، والمؤمنِ العائذاتِ الطّيرَ، تمسحها ما قلتُ من سيّيء مما أُتيتَ به، وما هُريق، على الأنصاب، من جسدِ رُكبانُ مكَة بين الفَيلِ والسّعَد إذاً فلا رفعت سوطي إليَّ يدي,تضمين (جريان)
39,قلتُ مقالةَ,اشتقاق
41,أبا قابوس أوعدني، يأتيك,التفات
45,فما الفُرات، إذا جاشت غواربه يمُدّهُ كلُّ وادٍ مُترعٍ، لجبٍ، يظلّ، من خوفه، الملّاحُ معتصماً يوماً، بأجود منه سيب نافلةٍ، ترمي أواذيُّهُ العبرينِ بالزّبَدِ فيه ركامٌ من الينبوتِ والخضدِ بالخيزُرانةِ، بعد الأينِ والنّجَدِ ولا يحولُ عطاءُ اليوم دون غَدِ,تشبيه
9,كأن رحلي، من وحش وَجرة مَوشيٍّ أكارعُهُ على مستأنسٍ وحدِ طاوي المصير،,تشبيه
