رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
16,فَمِثْلِكِ حُبْلَى قَدْ طَرَقْتُ وَمُرْضِعٍ فَأَلْهَيْتُهَا عَنْ ذِي تَمَائِمَ مُحْوِلِ,عن ذي تمائم محول,كناية,"كناية عن الطفل الصغير الضعيف الذي ما زال في حاجة إلى التمائم حمايةً له، مما يدل على صغر سنّه واعتماده على أمه."
17,إذا ما بَكَى مِنْ خَلْفَهَا انْصَرَفَتْ لَهُ بِشِقٍّ وَتَحْتِي شِقُّهَا لَمْ يُحَوَّلِ,بِشِقٍّ… وتَحتي شِقُّها لم يُحوَّل,كناية,"كناية عن شدّة تعلّقها بطفلها؛ فهي تلتفت إليه بنصفها، بينما يبقى نصفها الآخر في موضعه، مما يدلّ على تردّدها بين الأمومة والوصال."
18,ويَوْمٍ عَلَى ظَهْرِ الكَثِيبِ تَعَذَّرَتْ عَلَيَّ وَآلَتْ حَلْفَةً لَمْ تَحَلَّلِ,آلَت حلفةً لم تحلل,كناية,"كناية عن شدّة الامتناع والالتزام بالابتعاد، فالحلف هنا ليس المقصود بذاته، بل إرادة الإصرار على عدم الرجوع."
19,أَفَاطِمَ مَهْلًا بَعْضَ هَذَا التَّدَلُّلِ وَإِنْ كُنْتِ قَدْ أَزْمَعْتِ صَرْمِي فَأَجْمِلِي,أزمعتِ صرمي,كناية,"كناية عن العزم على قطع العلاقة وترك الوصال، دون التصريح بلفظ الفراق مباشرة."
20,أَغَرَّكِ مِنِّي أَنَّ حُبَّكِ قَاتِلِي وَأَنَّكِ مَهْمَا تَأْمُرِي الْقَلْبَ يَفْعَلِ,حبّك قاتلي,مجاز,"مجاز عن شدّة التعلّق والمعاناة؛ فالحب لا يقتل حقيقةً، وإنما يُصوَّر كقوة قاتلة مبالغةً في وصف أثره عليه."
21,فَإِنْ تَكُ قَدْ سَاءَتْكِ مِنِّي خَلِيقَةٌ فَسُلِّي ثِيَابِي مِنْ ثِيَابِكِ تَنْسُلِ,فسلّي ثيابي من ثيابك تنسلي,تكرار,"تكرار لفظ ثيابي / ثيابك لإبراز شدة الارتباط بينهما ثمّ الانفصال، مما يعطي وقعًا صوتيًا ومعنويًا قويًا."
22,وَمَا ذَرَفَتْ عَيْنَاكِ إِلَّا لِتَضْرِبِي بِسَهْمَيْكِ فِي أَعْشَارِ قَلْبٍ مُقَتَّلٍ,لتضربي بسهميك,استعارة,"شبّه العينين أو النظرات بالسهام التي تُصيب القلب، للدلالة على قوة تأثيرها وسحرها، فالسهم ليس حقيقيًا."
23,وَبَيْضَةِ خِدْرٍ لَا يُرَامُ خَبَاؤُهَا تَمَتَّعْتُ مِنْ لَهْوٍ بِهَا غَيْرَ مُعْجَلِ,بيضة خدر,كناية,"كناية عن المرأة المصونة المحجوبة، فالبيضة رمز للنقاء والحماية، والخدر يدل على الستر والحياء."
24,تَجَاوَزْتُ أَهْوَالًا إِلَيْهَا وَمَعْشَرًا عَلَيَّ حِرَاصًا لَوْ يُسِرُّونَ مَقْتَلِي,تجاوزتُ أهوالًا إليها,مجاز,"مجاز عن شدّة ما تحمّله من مخاطر ومتاعب للوصول إليها، فالمراد ليس الأهوال الحقيقية فقط، بل تضخيم ما بذله من جهد."
25,إذا ما الثُّرَيَّا في السَّمَاءِ تَعَرَّضَتْ تَعَرَّضَ أَثْنَاءِ الوِشَاحِ المُفَصَّلِ,تعرضت… كأثناء الوشاح المفصل,تشبيه,"شبّه ظهور الثريّا في السماء بظهور أجزاء الوشاح المزخرف على كتف المرأة، مما يبرز جمال المشهد وانتظام نجوم الثريّا."
26,فَجِئْتُ وَقَدْ نَضَتْ لِنَوْمٍ ثِيَابَهَا لَدَى السِّتْرِ إِلَّا لِبْسَةَ المُتَفَضِّلِ,نضت لِنومٍ ثيابها,كناية,"كناية عن استعدادها للنوم وارتخاء الستر، دون ذكر تفاصيل حسّية، للدلالة على لحظة خصوصية وهدوء."
27,فَقَالَتْ يَمِينَ اللهِ مَا لَكَ حِيلَةٌ وَمَا إِنْ أَرَى عَنْكَ الغَوَايَةَ تَنْجَلِي,ما لك حيلة,كناية,"كناية عن العجز التام وعدم القدرة على الإصلاح، دون ذكر لفظ العجز صراحة."
28,فَقُمْتُ بِهَا أَمْشِي تَجُرُّ وَرَاءَنَا عَلَى إِثْرِنَا أَذْيَالَ مِرْطٍ مُرَحَّلِ,تجرّ أذيال مرطٍ مرحّل,كناية,"كناية عن مشيها المتأنّي الرقيق، فجرّ الأذيال يدل على النعومة والأنوثة دون وصف مباشر."
29,فَلَمَّا أَجَزْنَا سَاحَةَ الحَيِّ وَانْتَحَى بِنَا بَطْنُ خَبْتٍ ذِي قِفَافٍ عَقَنْقَلِ,بطن خبتٍ ذي قفافٍ عقنقل,كناية,"كناية عن مكانٍ منبسطٍ منقطعٍ عن الأنظار، كثير الرمال والعقبات، يُراد به الخلوة والخفاء دون تصريح مباشر."
30,هَصَرْتُ بِفْودَي رَأْسِهَا فَتَمَايَلَتْ عَلَيَّ هَضِيمَ الكَشْحِ رَيَّا المُخَلْخَلِ,هَصَرْتُ بفودي رأسها,كناية,"كناية عن الملاطفة والقرب الجسدي دون ذكرٍ صريح، باستخدام فعلٍ لطيف يدلّ على اللمس الرقيق."
31,مُهَفْهَفَةٌ بَيَضَاءُ غَيْرُ مُفَاضَةٍ تَرَائِبُهَا مَصْقُولَةٌ كَالسَّجَنْجَلِ,ترائبها مصقولة كالسجنجل,تشبيه,"شبّه ترائبها (أعالي صدرها) بالمرآة المصقولة (السِّجَنْجَل) في صفائها ونعومتها ولمعانها، مما يبرز جمالها وتناسقها."
32,تَصُدُّ وتُبْدِي عَنْ أَسِيلٍ وَتَتَّقِي بِنَاظِرَةٍ مِنْ وَحْشِ وَجْرَةَ مُطْفِلِ,تصدّ وتبدي,طباق إيجاب,"جمع بين الفعلين المتضادين (الصّد والإبداء) لإظهار تردّدها بين الإقبال والإدبار، مما يعكس حياءها وتمنّعها الظاهر."
33,وجِيدٍ كَجِيدِ الرِّئْمِ لَيْسَ بِفَاحِشٍ إِذَا هِيَ نَصَّتْهُ وَلَا بِمُعَطَّلِ,كجيدِ الرئم,تشبيه,"شبّه طول الجيد (العنق) وجماله بجيد الظبية (الرِّئم)، المشهورة بالرشاقة والنعومة، لإبراز جمالها واتّساق قوامها."
34,غَدَائِرُهُ مُسْتَشْزَرَاتٌ إلى العُلا تَضِلُّ العِقَاصُ في مُثَنًّى وَمُرْسَلِ,تضلّ العقاص في مثنّى ومرسل,مبالغة,"يصوّر كثافة الشعر وتشابكه حتى كأنّ الضفائر تضلّ وسط الشعر المنسدل والمثنّى، وهو وصف مبالغ فيه لإظهار وفرة الشعر وحسنه."
35,وَكَشْحٍ لَطِيفٍ كَالْجَدِيلِ مُخَصَّرٍ وَسَاقٍ كَأَنْبُوبِ السَّقِيِّ الْمُذَلَّلِ,كالجَديل مخصّر,تشبيه,"شبّه الكشح (الخصر) بالجديل المضفور في دقّته واستوائه، مما يبرز نعومة القوام ورشاقته."
36,ويُضْحِي فَتِيتُ المِسْكِ فَوْقَ فِرَاشِهَا نَؤُومُ الضُّحَى لَمْ تَنْتَطِقْ عَنْ تَفَضُّلِ,فتيتُ المسك فوق فراشها,كناية,"كناية عن أثر العطر الذي تتركه على فراشها، دالٌّ على النظافة والترف والنعومة دون ذكرٍ مباشر."
37,وتَعْطُو بِرَخْصٍ غَيْرِ شَثْنٍ كَأَنَّهُ أَسَارِيعُ ظَبْيٍ أَوْ مَسَاوِيكُ إِسْحِلِ,كأنه أساريعُ ظبي,تشبيه,"شبّه لين اليد ودقّتها بصغار الظباء (الأساريع) في نعومتها ورشاقتها، لإبراز جمال اليد وخفّتها."
38,تُضِيءُ الظَّلامَ بِالعِشَاءِ كَأَنَّهَا مَنَارَةُ مُمْسَى رَاهِبٍ مُتَبَتِّلِ,تُضيء الظلام,استعارة,"شبّه وجهها أو حضورها بالنور الذي يبدّد الظلام، فالإضاءة ليست حقيقية بل تصوير لشدة إشراقها وبهائها."
39,إِلَى مِثْلِهَا يَرْنُو الحَلِيمُ صَبَابَةً إِذَا مَا اسْبَكَرَّتْ بَيْنَ دِرْعٍ وَمِجْوَلِ,بين درعٍ ومجول,طباق إيجاب,"الجمع بين شيئين متقابلين في الهيئة (الدرع: الغطاء العلوي، والمِجول: ما يستر أسفل البدن) لإبراز تمام الهيئة وحسن الاعتدال."
40,كَبِكْرِ المُقَانَاةِ البَيَاضَ بِصُفْرَةٍ غَذَاهَا نَمِيرُ الْمَاءِ غَيْرُ مُحَلَّلِ,كبكر المقاناة البياض بصفرة,تشبيه,"شبّه لون بشرتها بلون الناقة البكر التي يمتزج بياضها بصفرة خفيفة، وهو لون محبوب عند العرب يرمز للنضارة والجمال."
41,تَسَلَّتْ عَمَايَاتُ الرِّجَالِ عَنِ الصِّبَا وَلَيْسَ فُؤَادِي عَنْ هَوَاكِ بِمُنْسَلِي,تسلّت عمايات الرجال عن الصبا,مجاز,"مجاز عن ذهاب غفلة الشباب ونزواته، فالعمايات ليست عَمى حقيقيًا بل أخطاء وجهالات تزول مع النضج."
42,أَلَا رُبَّ خَصْمٍ فِيكِ أَلْوَى رَدَدْتُهُ نَصِيحٍ عَلَى تَعْذَالِهِ غَيْرَ مُؤْتَلِي,خصمٍ فيكِ ألوى رددته,كناية,"كناية عن دفاعه عنها وردّه لكلّ من يعيبها أو يتعرّض لها، دون ذكر لفظ الحماية صراحة."
43,وَلَيْلٍ كَمَوْجِ البَحْرِ مُلْقٍ سُدُولَهُ عَلَيَّ بِأَنْوَاعِ الهُمُومِ لِيَبْتَلِي,ليلٍ كموج البحر,تشبيه,"شبّه الليل بموج البحر في شدة تراكم ظلامه واضطرابه، مما يعكس ثِقَل الهمّ الذي يحيط به."
44,فَقُلْتُ لَهُ لَمَّا تَمَطَّى بِصُلْبِهِ وَأَرْدَفَ أَعْجَازًا وَنَاءَ بِكَلْكَلِ,تمطّى بصلبه,استعارة,"شبّه الليل (أو الزمن) بمخلوق يتمطّى بظهره عند الامتداد، فالفعل حقيقي للحيوان لا للّيل، للدلالة على طول الليل وثقله."
45,أَلَا أَيُّهَا اللَّيْلُ الطَّوِيلُ أَلَا انْجَلِي بِصُبْحٍ وَمَا الْإِصْبَاحُ فِيكَ بِأَمْثَلِ,ألا أيها الليل الطويل ألا انجلي,التجريد,"جرّد الليل من حقيقته وخاطبه ككائن يسمع ويستطيع الانجلاء، وهذا أسلوب تجريد يُظهر عمق الضيق وطول المعاناة مع الليل."
46,فَيَا لَكَ مِنْ لَيْلٍ كَأَنَّ نُجُومَهُ بِكُلِّ مُغَارِ الفَتْلِ شُدَّتْ بِيَذْبُلِ,كأنّ نُجومه شدّت بيَذبل,استعارة,"شبّه النجوم بحبالٍ مشدودة بآلة الفتل (المغار)، فأسند إليها فعل الشدّ، وهو فعل للأيدي لا للنجوم، تصويرًا لاشتداد لمعانها وثباتها في السماء."
47,كأنَّ الثُّريَّا عُلِّقَتْ في مَصَامِهَا بأمْرَاسِ كَتَّانٍ إلى صُمِّ جَنْدَلِ,كأنّ الثريّا عُلِّقت… بأمراس كتان,تشبيه,"شبّه الثريّا (مجموعة النجوم) بجسمٍ معلّقٍ في السماء بحبال من كتان مشدودة إلى صخور صلبة، لإبراز ثباتها وارتفاعها في مشهد بصري قوي."
48,وقِرْبَةِ أَقْوَامٍ جَعَلْتُ عِصَامَهَا عَلَى كَاهِلٍ مِنِّي ذَلُولٍ مُرَجَّلِ,جعلتُ عصامها على كاهلٍ مني,كناية,"كناية عن تحمّل المسؤولية وخدمة القوم، إذ حملُ القِربة ووضعُ عصامها على الكاهل يدل على بذل الجهد وتحمّل الأعباء."
49,ووادٍ كَجَوْفِ العَيْرِ قَفْرٍ قَطَعْتُهُ به الذِّئْبُ يَعْوِي كَالْخَلِيعِ المُعَيَّلِ,كجوفِ العير,تشبيه,"شبّه الوادي الخالي بجوف الحمار البرّي في خلوّه وامتداده، للدلالة على شدّة القفر والوحشة."
50,فَقُلْتُ لَهُ لَمَّا عَوَى إِنَّ شَأْنَنَا طَوِيلُ العَنَا إِنْ كُنْتَ لَمَّا تَمَوَّلِ,طويلُ العَنا,كناية,"كناية عن شدّة التعب والمشقّة وكثرة ما يلاقيه في رحلته، دون ذكر التعب صراحة."
51,كِلَانَا إِذَا مَا نَالَ شَيْئًا أَفَاتَهُ وَمَنْ يَحْتَرِثْ حَرْثِي وَحَرْثَكَ يُهْزَلِ,من يحتَرِثْ حرثي وحرثك,كناية,"كناية عن من يتعب ويشقى في عمله وعملك معاً، فـ""الحرث"" ليس المقصود به الزراعة فقط، بل كناية عن المتاعب والمكاسب المشتركة."
52,وقد أغتدي والطَّيْرُ في وُكُنَاتِهَا بمنجردٍ قَيْدِ الأوَابِدِ هَيْكَلِ,منجردٍ قيدِ الأوابد,كناية,"كناية عن سرعة الفرس وقوّته؛ إذ يُقال له ""قيد الأوابد"" لأنه يلحق الحيوانات الشاردة السريعة، مما يدل على شدة عدوه وثباته."
53,مِكَرٍّ مِفَرٍّ مُقْبِلٍ مُدْبِرٍ مَعًا كَجُلْمُودِ صَخْرٍ حَطَّهُ السَّيْلُ مِنْ عَلِ,مِكَرٍّ مِفَرٍّ مُقْبِلٍ مُدْبِرٍ,طباق إيجاب,"جمع بين الأفعال المتقابلة (يكرّ/يفرّ، مقبل/مدبر) لبيان شدّة حركة الفرس وسرعته وتقلبه بين الهجوم والفرار في لحظة واحدة."
54,كُمَيْتٍ يَزِلُّ اللِّبْدُ عَنْ حَالِ مَتْنِهِ كَمَا زَلَّتِ الصَّفْوَاءُ بِالْمُتَنَزَّلِ,كمَيْتٍ يَزِلّ اللِّبدُ عن حالِ متنه,كناية,"كناية عن شدّة سرعة الفرس وقوّته؛ إذ يزول اللِّبد (الجلد أو الفروة) عن ظهره من شدّة العدوّ والاهتزاز، دلالة على شدّة الحركة والنشاط."
55,على الذَّبْلِ جَيَّاشٌ كَأَنَّ اهْتِزَامَهُ إِذَا جَاشَ فِيهِ حَمْيُهُ غَلْيُ مِرْجَلِ,كأنّ اهتزامه… غليُ مِرجل,تشبيه,"شبّه اهتزاز الفرس واضطراب حركته حين يثور حميّه بغليان القدر على النار، لإبراز شدّة الحركة وقوة الاندفاع."
56,مِسَحٍّ إِذَا مَا السَّابِحَاتُ عَلَى الوَنَى أَثَرْنَ الغُبَارَ بِالكَدِيدِ المُرَكَّلِ,مسحّ,كناية,"كناية عن فرسٍ شديد الجري سريع الحركة، فـ""المسحّ"" يدل على القوة والسرعة دون ذكرهما صراحة."
57,يَزِلُّ الغُلَامُ الخِفُّ عَنْ صَهَوَاتِهِ وَيُلْوِي بِأَثْوَابِ العَنِيفِ المُثَقَّلِ,يَزِلُّ الغلامُ الخفّ عن صهواته,تشبيه ضمني / كناية,"كناية عن قوّة الفرس وارتفاع صهوته؛ حتى إنّ الغلام الخفيف يزلّ عنها ولا يثبت، دلالة على شدّة حركته وقوّة اندفاعه."
58,دَرِيْرٍ كَخُذْرُوفِ الوَلِيدِ أَمَرَّهُ تَتَابَعُ كَفَّيْهِ بِخَيْطٍ مُوَصَّلِ,كخُذْرُوفِ الوليد أمرَّه تتابع كفّيه,تشبيه,"شبّه سرعة دوران الفرس واندفاعه بسرعة الخُذْروف الذي يلعب به الطفل، إذ تتحكم يداه بالخيط فيُسرّع دورانه؛ تصوير قوي لشدّة العدو وخفّته."
59,لَهُ أَيْطَلا ظَبْيٍ وَسَاقَا نَعَامَةٍ وَإِرْخَاءُ سَرْحَانٍ وَتَقْرِيبُ تَتْفُلِ,أيطلا ظبي,تشبيه,"شبّه خاصرتي الفرس بخاصرتي الظبي في الرشاقة والدقّة، للدلالة على جمال القوام وخفّة الحركة."
60,ضَلِيعٍ إِذَا اسْتَدْبَرْتَهُ سَدَّ فَرْجَهُ بِضَافٍ فُوَيْقَ الْأَرْضِ لَيْسَ بِأَعْزَلِ,سدّ فرجه بضافٍ فوق الأرض,كناية,"كناية عن شدّة امتلاء جسم الفرس وقوّته؛ إذ يَسدّ ما بين رجليه ويغطي الأرض بجسده العريض، دلالة على الضخامة والمتانة."
61,كأنَّ سَرَاتَهُ لَدَى البَيْتِ قَائمًا مَدَاكُ عَرُوسٍ أَوْ صَلَايَةُ حَنْظَلِ,كأنّ سراتَه… مداكُ عروس,تشبيه,"شبّه أعلى ظهر الفرس (السَّرَاة) حين يقف بثباتٍ بالمِدَاك الذي تستعمله العروس لطحن الطيب، في إشارة إلى استواء السَّرَاة وصلابتها وجمال منظرها."
62,كَأَنَّ دِمَاءَ الهَادِيَاتِ بِنَحْرِهِ عُصَارَةُ حِنَّاءٍ بِشَيْبٍ مُرَجَّلِ,كأنّ دماءَ الهاديات… عصارةُ حنّاء,تشبيه,"شبّه لون الدم على نحر الفرس بعصارة الحنّاء المخلوطة بشَيبةٍ مرجَّلة، للدلالة على امتزاج الألوان وحُسن المشهد وقوّة الصورة."
63,فَعَنَّ لَنَا سِرْبٌ كَأَنَّ نِعَاجَهُ عَذَارَى دَوَارٍ فِي مُلَاءٍ مُذَيَّلِ,كأنّ نعاجه عذارى دوارٍ,تشبيه,"شبّه النعاج بالعذارى اللواتي يدُرن في ملابس مزينة، لإبراز جمال حركة النعاج ورشاقتها في مشهد حيّ لطيف."
64,فَأَدْبَرْنَ كَالْجَزْعِ الْمُفَصَّلِ بَيْنَهُ بِجِيدِ مُعَمٍّ فِي الْعَشِيرَةِ مُخْوَلِ,كالجَزْعِ المُفَصَّل,تشبيه,"شبّه أدبار النعاج أو النساء بحبّات الجزع المنظومة في عقدٍ مُفصَّل، للدلالة على انتظام الحركة وجمال التناسق بينهنّ."
65,فَأَلْحَقَهُ بِالْهَادِيَاتِ وَدُونَهُ جَوَاحِرُهَا فِي صَرَّةٍ لَمْ تَزَيَّلِ,جواحِرُها في صرّةٍ لم تَزَيَّل,كناية,"كناية عن تماسك السرب وصغار النوق حول أمهاتها في تجمعٍ محكم، إذ ""الصرّة"" تدل على شدّة الالتفاف وعدم التفرّق."
66,فَعَادَى عِدَاءً بَيْنَ ثَوْرٍ وَنَعْجَةٍ دِرَاكًا وَلَمْ يُنْضَحْ بِمَاءٍ فَيُغْسَلِ,عداءً بين ثور ونعجة,تشبيه,"شبّه عدْو الفرس بسرعة عدْو الثور والنّعجة حين يشتدّ فرارهما، للدلالة على شدّة السرعة وتتابع الخطوات في مشهد حركيّ حيّ."
67,فَظَلَّ طُهَاةُ اللَّحْمِ مِنْ بَيْنِ مُنْضِجٍ صَفِيفَ شِوَاءٍ أَوْ قَدِيرٍ مُعَجَّلِ,مُنضِجٍ صَفِيفَ شِواءٍ أو قديرٍ معجّل,طباق إيجاب,"الجمع بين طريقتين مختلفتين في الطبخ (الشواء والقدير)، في سياق واحد لبيان كثرة الطعام وتنوعه."
68,ورُحْنَا يَكَادُ الطَّرْفُ يَقْصُرُ دُونَهُ مَتَى مَا تَرَقَّ العَيْنُ فِيهِ تَسَهَّلِ,يكاد الطرف يقصر دونه,كناية,"كناية عن شدة بعد المسافة وسرعة السير، حتى إنّ البصر يعجز عن بلوغ الغاية أو متابعة الحركة."
69,فَبَاتَ عَلَيْهِ سَرْجُهُ وَلِجَامُهُ وَبَاتَ بِعَيْنِي قَائِمًا غَيْرَ مُرْسَلِ,بات بعيني قائمًا غير مرسل,كناية,"كناية عن سهره وتخيّل الفرس قائمًا أمامه طوال الليل، أي شدة تفكيره به وانشغال باله دون نوم."
70,أَصَاحَ تَرَى بَرْقًا أُرِيكَ وَمِيضَهُ كَلَمْعِ اليَدَيْنِ فِي حَبِيٍّ مُكَلَّلِ,كلمعِ اليدين في حَبِيٍّ مُكَلَّل,تشبيه,"شبّه وميضَ البرق بلمعان اليدين عند خضّ الطعام في القدر المكلّل، للدلالة على سرعة توهّج البرق وتتابع لمعانه في مشهد حيّ واضح الحركة."
71,يُضِيءُ سَنَاهُ أَوْ مَصَابِيحُ رَاهِبٍ أَمَالَ السَّلِيطَ بِالذُّبَالِ الْمُفَتَّلِ,يُضيءُ سَناه,استعارة,"شبّه ضوء البرق بضياءٍ يصدر من مصدر ثابت؛ فالإضاءة ليست ثابتة بل عارضة، مما يضفي على المشهد قوة ووضوحًا."
72,قَعَدْتُ لَهَا وَصُحْبَتِي بَيْنَ ضَارِجٍ وَبَيْنَ العُذَيْبِ بُعْدَ مَا مُتَأمَّلِ,قعدتُ لها,كناية,"كناية عن الترقّب والانتظار والترصّد، فالقعود يُراد به الاستعداد للقاء أو لمراقبة شيء دون ذكره صراحة."
73,عَلَا قَطَنًا بالشَّيْمِ أيْمَنُ صَوْبِهِ وَأيْسَرُهُ عَلَى السِّتَارِ فَيَذْبُلِ,عَلا قطنًا بالشيم,كناية,"كناية عن شدّة المطر الذي يسقي موضع قطن فيكسوه بالنبات (الشيم)، أي أثر المطر على الأرض دون ذكر المطر صراحة."
74,فَأضْحَى يَسُحُّ المَاءَ حَوْلَ كُتَيْفَةٍ يَكُبُّ عَلَى الأذْقَانِ دَوْحَ الكَنَهْبُلِ,يسحّ الماء حول كُتيفة,مجاز,"مجاز عن شدّة المطر المنهمر حول الجبل (كُتيفة)، فـ""السحّ"" بمعنى الانصباب المتتابع، والمعنى: مطر غزير يحيط بالجبل."
75,ومَرَّ عَلَى القَنَانِ مِنْ نَفَيَانِهِ فَأَنْزَلَ مِنْهُ العُصْمَ مِنْ كُلِّ مَنْزِلِ,مرّ على القنان من نفيانه,مجاز,"مجاز عن مرور السحاب (المطر) على رؤوس الجبال (القنان)، و""النَّفَيان"" مجاز"
76,وَتَيْمَاءَ لَمْ يَتْرُكْ بِهَا جِذْعَ نَخْلَةٍ وَلَا أَجُمًا إِلَّا مَشِيدًا بِجَنْدَلِ,لم يترك بها جذع نخلة ولا أجمًا إلا مشيدًا بجندل,مجاز,"مجاز عن قوّة السيل والعاصفة التي اقتلعت الأشجار وخلّفتها مكدّسة بالحجارة (الجندل)، فالإسناد إلى الفاعل الظاهر غير حقيقي، بل تصوير لشدة الخراب."
77,كأنَّ ثَبِيَرًا في عَرانِينِ وَبْلِهِ كَبِيرُ أَنَاسٍ في بِجَادٍ مُزَمَّلِ,كأنّ ثبيرًا… كبيرُ أناسٍ في بِجادٍ مزمل,تشبيه,"شبّه جبل ثبير وقد غمرته السيول بإنسانٍ عظيم wrapped in a cloth (بجاد)، للدلالة على ضخامة الجبل وامتداد المطر عليه كالثوب الملتفّ حول الجسد."
