#,البيت,الشاعر,القصيدة,التعبير البلاغي,العنصر البلاغي المستعمل,العنصر البلاغي الثانوي
11,11,الفرزدق,قصيدة رقم 268، منتهى الطلب، طويل، عُ,فَيا عَجَبى حَتَّّى كُلَيْبٌ تَسُبُّنِيكأنَّ أباها نَهْشَلٌ أوْ مُجاشِعٌ,تشبيه,تشبيه
12,41,جرير بن عطيّة,قصيدة رقم 254، منتهى الطلب، كامل، عُ,إنّا لَنَعْرِفُ مِنْ نِجارِ مُجاشِعٍ هَدَّ الحَفِيفِكما يَجِفُّ الخِرْوَعُ,تشبيه,تشبيه
13,6,ذو الرمة,قصيدة رقم 64، الطويل، لُ,جُنوحٌ على باقٍ سَحيقٍكَأنَّهُ إِهابُ ابنِ آوى كاهِبُ اللونِ أَطْحَلُ,تشبيه,تشبيه
14,7,ذو الرمة,قصيدة رقم 64، الطويل، لُ,ولِلنُّؤْيِ مَجْنوبًاكأَنَّ هلالَهُ وقد نَسفَتْ أعضادَهُ الرّيحُ جَدْوَلُ,تشبيه,تشبيه
15,1,ذو الرمة,قصيدة رقم 64، الطويل، لُ,أَلِلرَّبْعِ ظَلَّتْ عينُكَ الماءَ تَهْمُلُ رَشاشًاكما اسْتَنَّ الجُمانُ المُقصَّلُ,تشبيه,تشبيه
16,2,ذو الرمة,قصيدة رقم 64، الطويل، لُ,لعِرفانِ أطلالٍكأَنَّ رُسومَها بوَهبينَ وَشْيُ أو رِداءٌ مُسَلْسَلُ,تشبيه,تشبيه
17,24,الفرزدق,قصيدة رقم 268، منتهى الطلب، طويل، عُ,هَوَى الخطَفَى لَمّا اخْتَطَفْتُ دِماغَهُكَما اخْتَطَفَ البازِي الخَشاشَ المُقارِعُ,تشبيه,تشبيه
18,29,الفرزدق,قصيدة رقم 268، منتهى الطلب، طويل، عُ,تَزَيَّدَ يَرْبُوعٌ بِهمْ في عَديدِهمْكَما زِيدَ في عَرْضِ الأدِيمِ الأكارِعُ,تشبيه,تشبيه
19,35,جرير بن عطيّة,قصيدة رقم 254، منتهى الطلب، كامل، عُ,ولَقَدْ صَكَكْتُ بَنِي الفَدَوْكَسِ صَكَّةً فَلَقُواكَما لَقِيَ القُريْدُ الأصْلَعُ,تشبيه,تشبيه
20,16,الأخطل,قصيدة رقم 325، منتهى الطلب، طويل، لُها,فَما لَبَّثَتْنِي أنْ حَنَتْنِيكَما تَرَى قَصِيراتُ أيّامِ الفَتَى وطَوِيلُها,تشبيه,تشبيه
21,11,الأخطل,قصيدة رقم 325، منتهى الطلب، طويل، لُها,طَفَتْ في الضُّحَى أحْداجُ أرْوَىكأنَّها قُرًى مِنْ جُواثى مُحْزَئِلٍّ فَسِيلُها,تشبيه,تشبيه
22,59,جرير بن عطيّة,قصيدة رقم 254، منتهى الطلب، كامل، عُ,مَنَعُوا الثُّغُورَ بعارِضٍ ذِيكوكبٍ لَولَا تَقَدُّمُنا لضاقَ المَطْلَعُ,تشبيه,تشبيه
23,63,ذو الرمة,قصيدة رقم 39، الطويل، حُ.,فظلَّ يُصاديها وظلَّتْكأَنَّما على هامِها سِرْبٌ من الطَّيْرِ لُوَّحُ,تشبيه,تشبيه
24,61,ذو الرمة,قصيدة رقم 39، الطويل، حُ.,رَعَتْ في فلاةِ الأرضِ حتىكأَنَّها من الضُّمْرِ خَطِّيٌّ من السُّمْرِ مُصْلَحُ,تشبيه,تشبيه
25,66,ذو الرمة,قصيدة رقم 39، الطويل، حُ.,كأَنَّ مطايانا بكلِّ مَفازةٍ قراقيرُ في صحراءِ دجلةَ تَسبَحُ,تشبيه,تشبيه
26,60,ذو الرمة,قصيدة رقم 39، الطويل، حُ.,يُقَلِّبُ أَشْباهًاكأَنَّ مُتونَها بمُسْتَرشَحِ البُهْمى من الصَّخْرِ صَرْدَحُ,تشبيه,تشبيه
27,24,الأخطل,قصيدة رقم 325، منتهى الطلب، طويل، لُها,أمَعْشَرَ كلبٍ لا تكونُواكأنَّكمْ بِعمياءَ مَسدودٍ عَلَيْكمْ سَبيلُها,تشبيه,تشبيه
28,21,جرير بن عطيّة,قصيدة رقم 254، منتهى الطلب، كامل، عُ,لَمّا رأى صَحْبِي الدَّمُوعَكأنَّها سَحُّ الرَّذاذِ على الرِّداءِ اسْتَرْجَعُوا,تشبيه,تشبيه
29,9,الفرزدق,قصيدة رقم 184، الطويل، رِ,أغَرُّ، أبُو العاصي أبُوهُ،كَأنّمَا تَفَرّجَتِ الأثْوَابُ عَنْ قمَرٍ بَدْرِ,تشبيه,تشبيه
30,1,ذو الرمة,قصيدة رقم 164، الطوسل، صُ,تُوَصَّلُ منها بامرئِ القَيْسِ نِسبَةٌكما نِيطَ في طُولِ العَسيبِ العَصاعِصُ,تشبيه,تشبيه
31,7,الفرزدق,قصيدة رقم 184، الطويل، رِ,وَمَا أحَدٌ ذُو فَاقَةٍ كَانَمِثْلَنَا إلَيْهِ، وَلَكِنْ لا بَقِيّةَ للدّهْرِ,تشبيه,تشبيه
32,8,الفرزدق,قصيدة رقم 184، الطويل، رِ,فإنْ لا تَكُنْ هِنْدٌ بكَتهُ، فقد بكتْ عَلَيْهِ الثُّرَيّا فيكَوَاكِبِها الزُّهْرِ,تشبيه,تشبيه
33,47,نقائض جرير والأخطل,قصيدة رقم 47، جرير، بسيط، رُ,فَمَا مَنَعْتُمْ غَدَاةَ البِشْر نِسْوَتَكُمْ وَلا صَبَرْتُمْ لِقَيْسٍمِثْلَ مَا صَبَرُوا,تشبيه,تشبيه
34,8,عبد الله بن الزبير,قصيدة رقم 35، طويل، قَا,تَبيتانِ من شُربَ المُدامةِكالذي أُتِيحَ له حَبْلٌ فأَضحَى مُخَنَّقَا,تشبيه,تشبيه
35,2,الفرزدق,قصيدة رقم 16، البسيط، بِ,فإنّيمِثْلُهُ إنْ لَمْ أُجَاوِزْ إلى كَعْبٍ وَرَابِيَتَيْ كِلَابِ,تشبيه,تشبيه
36,31,ذو الرمة,قصيدة رقم 39، الطويل، حُ.,ومُسْتَشْحِجاتٌ بالفِراقِكأَنَّها مَثاكيلُ من صُيّابَةِ النُّوبِ نُوَّحُ,تشبيه,تشبيه
37,35,ذو الرمة,قصيدة رقم 39، الطويل، حُ.,فلو تركوها والخيارَ تَخيَّرتْ فمامثلُ ميٍّ عندَ مثلِكَ يَصلُحُ,تشبيه,تشبيه
38,62,أبو النجم العجلي,قصيدة رقم 56، رجز، لِ,وَآضَتِ الْبُهْمَىكَنَبْلِ الصَّيْقَلِ,تشبيه,تشبيه
39,1,جرير بن عطيّة,قصيدة رقم 244، جرير، الوافر، دِ,متى كان المنازل بالوحيد طُلُولٌمِثْلُ حاشية البُرُود,تشبيه,تشبيه
40,26,ذو الرمة,قصيدة رقم 39، الطويل، حُ.,وتَجْلو بفَرعٍ من أَراكٍكأَنَّهُ من العَنْبَرِ الهنديّ والمِسكِ يُصْبَحُ,تشبيه,تشبيه
41,7,جرير بن عطيّة,قصيدة رقم 244، جرير، الوافر، دِ,كأَن المرجفِين وهم نَشَاوى نصارى يلعبون غداة عيد,تشبيه,تشبيه
42,21,ذو الرمة,قصيدة رقم 39، الطويل، حُ.,كأَنَّ البُرى والعاجَ عِيجَتْ مُتونُهُ على عُشَرٍ نَهّى به السيلَ أَبطَحُ,تشبيه,تشبيه
43,22,ذو الرمة,قصيدة رقم 39، الطويل، حُ.,لها كَفَلٌكالعانِكِ اسْتَنَّ فوقَهُ أَهاضيبُ لبَّدْنَ الهَذاليلَ نُضَّحُ,تشبيه,تشبيه
44,4,ذو الرمة,قصيدة رقم 15، الطويل، رُ.,وحتى اعترى البُهمى من الصيفِ نافِضٌكما نَفَضَتْ خيلٌ نواصيَها شُقْرُ,تشبيه,تشبيه
45,26,نقائض جرير والأخطل,قصيدة رقم 47، جرير، بسيط، رُ,كَانَتْ بَنُو تَغْلِبٍ لَا يَعْلُ جَدُّهُمُكَالمُهْلَكِينَ بِذِي الأَحْقَافِ إِذْ دَمَرُوا,تشبيه,تشبيه
46,3,الفرزدق,قصيدة رقم 16، البسيط، بِ,أأجْعَلُ دارِمًا كَابْنَيْ دُخَانٍ، وَكانَا في الغَنِيمَةِكَالرّكَابِ,تشبيه,تشبيه
47,73,أبو النجم العجلي,قصيدة رقم 56، رجز، لِ,يُحْسَبُ عُرْيَانًا مِنَ التَّبَذُّلِ,تشبيه,تشبيه
48,75,أبو النجم العجلي,قصيدة رقم 56، رجز، لِ,أَشْعَثَ سَامِي الطَّرْفِكَالمُسَلْسَلِ,تشبيه,تشبيه
49,8,الفرزدق,قصيدة رقم 16، البسيط، بِ,وَإنّ الأرْضَ تَعْجَزُ عَنْ رجال وَهُمْمِثْلُ المُعَبَّدَةِ الجِرَابِ,تشبيه,تشبيه
50,79,أبو النجم العجلي,قصيدة رقم 56، رجز، لِ,لِمَّةَ قَفْرٍكَشُعَاعِ السُّنْبُلِ,تشبيه,تشبيه
51,59,ذو الرمة,قصيدة رقم 39، الطويل، حُ.,صُهابِيَّةٌ جَلْسٌكأَنّي ورحلَها يَجوبُ بنا المَوْماةَ جَأْبٌ مُكَدَّحُ,تشبيه,تشبيه
52,52,ذو الرمة,قصيدة رقم 39، الطويل، حُ.,لها أُذُنٌ حَشْرٌ وذِفْرى أَسيلَةٌ وخَدٌّكمرآةِ الغريبَةِ أَسجَحُ,تشبيه,تشبيه
53,56,ذو الرمة,قصيدة رقم 39، الطويل، حُ.,إذا قُلتُ : عاجٍ أو تَغنَّيْتُ أَبْرَقَتْبمثلِ الخَوافي لاقِحًا أو تَلَقَّحُ,تشبيه,تشبيه
54,54,ذو الرمة,قصيدة رقم 39، الطويل، حُ.,ورِجْلٌكظِلِّ الذِّئْبِ أَلحَقَ سدْوَها وَظيفٌ أَمرَّتْهُ عَصا الساقِ أَرْوَحُ,تشبيه,تشبيه
55,82,أبو النجم العجلي,قصيدة رقم 56، رجز، لِ,تُغَادِرُ الصَّمْدَكَظَهْرِ الْأجْزَلِ,تشبيه,تشبيه
56,83,أبو النجم العجلي,قصيدة رقم 56، رجز، لِ,حَتَّى إِذَا مَا بُلْنَمِثْلَ الْخَرْدَلِ,تشبيه,تشبيه
57,84,أبو النجم العجلي,قصيدة رقم 56، رجز، لِ,كَأَنَّ فِي أَذْنَابِهِنَّ الشُّوَّلِ,تشبيه,تشبيه
58,21,عمر بن أبي ربيعة,قصيدة رقم 163، المديد، رُ,أَشْبهوا القتلى وما قُتِلوا ذاكَ إلّا أَنَّهم سَمَروا,تشبيه,تشبيه
59,49,ذو الرمة,قصيدة رقم 39، الطويل، حُ.,أطرت الكرى عنه وقد مال رأسهكما مالَ رَشّافُ الفِضالِ المُرَنَّحُ,تشبيه,تشبيه
60,48,ذو الرمة,قصيدة رقم 39، الطويل، حُ.,ونَشوانَ من طولِ النُّعاسِكأَنَّهُ بحَبْلَيْنِ في مَشطونَةٍ يَتَرَجَّحُ,تشبيه,تشبيه
61,46,ذو الرمة,قصيدة رقم 39، الطويل، حُ.,كأَنَّ الفِرِنْدَ المَحْضَ مَعْصوبةً بهِ ذُرى قورها ينقدُّ عنها ويُنْصَحُ,تشبيه,تشبيه
62,43,ذو الرمة,قصيدة رقم 39، الطويل، حُ.,لئن كانت الدُّنيا عليَّكما أرى تَباريحَ من ميٍّ فلَلْمَوْتُ أَروَحُ,تشبيه,تشبيه
63,12,الرّاعي النُّمَيْريّ,قصيدة رقم 60، الكامل، لَا,وَكَأَنَّهُنَّ أَشَاءُ يَثْرِبَ حَوْلَهَا جُرْفٌ أَضَرَّ بِهِنَّ نِهْيٌ بُهَّلَا,تشبيه,تشبيه
64,13,الرّاعي النُّمَيْريّ,قصيدة رقم 60، الكامل، لَا,وَكَأَنَّ جِزْيَةَ تَاجِرٍ وُهِبَتْ لَهُ يَوْمًا إِذَا اسْتَقْبَلْنَ غَيْثًا مُبْقِلَا,تشبيه,تشبيه
65,18,الرّاعي النُّمَيْريّ,قصيدة رقم 60، الكامل، لَا,دَسِمَ الثِّيَابِكَأَنَّ فَرْوَةَ رَأْسِهِ زُرِعَتْ فَأَنْبَتَ جَانِبَاهَا فُلْفُلَا,تشبيه,تشبيه
66,18,ذو الرمة,قصيدة رقم 39، الطويل، حُ.,رأَتْناكأَنّا عامِدونَ لعهدِها به فهيَ تَدْنو تارةً وتَزَحْزَحُ,تشبيه,تشبيه
67,22,الرّاعي النُّمَيْريّ,قصيدة رقم 60، الكامل، لَا,يَرْمَدُّ مِنْ حَذَرِ الْخِلَاطِكَمَا ازْدَهَتْ رِيحٌ يَمَانِيَةٌ ظَلِيمًا مُجْفِلَا,تشبيه,تشبيه
68,7,عمر بن أبي ربيعة,قصيدة رقم 344، الكامل، مُ,غَرِدَتْ على فِنَنٍ فأَسْعدَ شجوَها وُرْقٌ يُجِبْنَكما اسْتجابَ المأتمُ,تشبيه,تشبيه
69,38,الفرزدق,قصيدة رقم 182، البسيط، رِ,مِنْ حَرْبِ آلِ أبي العاصِي إذا غضِبوا بِكلّ أبْيَضَكالمِخْرَاقِ مأثُورِ,تشبيه,تشبيه
70,5,الفرزدق,قصيدة رقم 553، الكامل، مُ,لَوْ يَعْلَمُواحَسَبَ المُنِيخِ إلَيهِمُ، وَعلى بُيُوتهِمُ الطّرِيقُ اللَّهْجَمُ,تشبيه,تشبيه
71,23,عمر بن أبي ربيعة,قصيدة رقم 10، الوافر، بِ,ونعلمُ أنّنا سنبيدُ يومًاكما قدْ بادَ عَدَدٍ منَ الشّعوبِ,تشبيه,تشبيه
72,9,الفرزدق,قصيدة رقم 553، الكامل، مُ,مَنْ يَجْرَحَافَكَأنّما يُرْمَى بِهِ من حيثُ يَرْتَفَعُ الشَّبوبُ الأعصَمُ,تشبيه,تشبيه
73,2,الفرزدق,قصيدة رقم 553، الكامل، مُ,نَزَلَتْ بمَائِهِمْ،وَتَحْسِبُ رَحْلَها عَنْهَا سَيْحْمِلُهُ السّنامُ الأكْوَمُ,تشبيه,تشبيه
74,13,الفرزدق,قصيدة رقم 182، البسيط، رِ,إذا يَثُورُونَ أفْوَاجاًكَأنّهُمُ جَرَادُ رِيحٍ من الأجداثِ مَنشورِ,تشبيه,تشبيه
75,2,جرير بن عطيّة,قصيدة رقم 150، جرير، البسيط، رُ,ما زاليحسِب أَن الجحر مانِعُه حتى أَصاب صِماخيه المَناقير,تشبيه,تشبيه
76,3,عمر بن أبي ربيعة,قصيدة رقم 401، الخفيف، نِ,لا تَلُمْني عتيقُحسبي الّذي بي إنّ بي يا عتيقُ ما قدْ كفاني,تشبيه,تشبيه
77,2,يزيد بن الطثريّة,قصيدة رقم (22)، الرّجز، دَ.,نذودُ منها سرعانًا وارِدامِثْلَ الدَّبى تَتَّبعُ الموارِدا,تشبيه,تشبيه
78,21,عمر بن لجأ التّيميّ,قصيدة رقم 3، الوافر، دُ,فأقْعِكما وجدتَ أباك أقعَى فأقْعِكما وجدتَ أباك أقعَى فأقْعِكما وجدتَ أباك أقعَى وضَيمٌ قد أحاطَ به شديدُ,تشبيه,تشبيه
79,103,عمر بن لجأ التّيميّ,قصيدة رقم 5، الطّويل، دَا,ترى البَظْرَ منها مرمعِلَّاكأنه لسانٌ بدا من ذي حِفافينِ أنجَدا,تشبيه,تشبيه
80,104,عمر بن لجأ التّيميّ,قصيدة رقم 5، الطّويل، دَا,هريتاكجفرٍ من عَمايةَ آجنٍ صَراهُ أثارتْهُ الأكفُ فأزبَدا,تشبيه,تشبيه
81,101,عمر بن لجأ التّيميّ,قصيدة رقم 5، الطّويل، دَا,كما أرزمتْ خَوَّارةٌ حين باشرتْ مناخِرُها بوَّ الحِمارِ المجلَّدا,تشبيه,تشبيه
82,6,وضاح اليمن,قصيدة رقم 36، طويل، ى,فَمَنْ مُبْلِغٌ عنّي سماعةَ ناهِيًا فَإِنْ شئْتَ فاقْطَعْناكَما يُقطَع السَّلى,تشبيه,تشبيه
83,22,الفرزدق,قصيدة رقم 551، الطَّويل، مِ,فَإنّا وَإيّاهُمْكَعَبْدٍ وَرَبِّهِ، إذا فَرّ مِنْهُ رَدّهُ بِرُغُومِ,تشبيه,تشبيه
84,18,الفرزدق,قصيدة رقم 551، الطَّويل، مِ,فَمَنْ يَرَ غَارَيْنَا، إذا ما تَلاقَيَا، يَكُنْ مَنْ يَرَى طَوْدَيْهِماكأمِيمِ,تشبيه,تشبيه
85,7,الرّاعي النُّمَيْريّ,قصيدة رقم 29، الطويل، رُ,فَإِنَّ لَنَا جَارًا عَلِقْنَا حِبَالَهُكَغَيْثِ الْحَيَا لَا يَجْتَوِيهِ الْمُجَاوِرُ,تشبيه,تشبيه
86,1,عمر بن أبي ربيعة,قصيدة رقم 201، الطويل، صُ,خليليَّ ما بالُ المطاياكأنّما نراها على الأدْبارِ بالقومِ تنكصُ,تشبيه,تشبيه
87,8,جرير بن عطيّة,قصيدة رقم 259، منتهى الطلب، وافر، دُ,حَسِبْتَ مَنازِلًا بِجِمادِ رَهْبَىكَعَهْدِكَ بَلْ تَغَيَّرتِ العُهُودُ,تشبيه,تشبيه
88,5,الرّاعي النُّمَيْريّ,قصيدة رقم 305، منتهى الطلب، بسيط، دُ,كأنَّها يَومَ خِمْسِ القَوْمِ عَنْ جَلَبٍ ونَحْنُ والآلُ بالمَوماةِ نَطَّرِدُ,تشبيه,تشبيه
89,2,ذو الرمة,قصيدة رقم 63 ص. الطويل، مِ,فإِلا يَرُدّوها علينا نَدَعْ بهِمْ هِجاءًكَكَيِّ النّاحِزِ المُتَلَوِّمِ,تشبيه,تشبيه
90,23,أبو النجم العجلي,قصيدة رقم 16، رجز، حَا,كَمَا يُفِيضُ الْيَسَرُ الْقُدُوحَا,تشبيه,تشبيه
91,39,نقائض جرير والفرزدق,الفرزدق، نقيضة رقم 75، الطَّويل، دِ,وكانَ جَريرٌ عَلَى قَوْمِهِكَبَكْرِ ثَمودٍ لَها الأَنْكَدِ,تشبيه,تشبيه
92,43,نقائض جرير والفرزدق,الفرزدق، نقيضة رقم 75، الطَّويل، دِ,إِلَى مَقْعَدٍكَمَبيتِ الكِلابِ قَصيرٍ جَوانِبُهُ مُبْلَدِ,تشبيه,تشبيه
93,22,الأحوص الأنصاري,قصيدة رقم 360، منتهى الطلب، طويل، عُ,أغَرُّ لمَرْوانٍ ولَيْلَىكأنَّهُ حُسامٌ جَلَتْ عَنْهُ الصَّياقِلُ قاطِعُ,تشبيه,تشبيه
94,23,الأحوص الأنصاري,قصيدة رقم 360، منتهى الطلب، طويل، عُ,هُوَ الفَرْعُ مِن عَبْدَيْ مَنافٍكأنَّهُ إلَيْهِ انْتَهَتْ أحْسابُهُمْ والدَّسائِعُ,تشبيه,تشبيه
95,24,الأحوص الأنصاري,قصيدة رقم 360، منتهى الطلب، طويل، عُ,إذا ما بَدا لِلنّاظِرِينَكأنَّهُ هِلالٌ بَدا في ظُلْمةِ اللَّيْلِ طالِعُ,تشبيه,تشبيه
96,19,الأحوص الأنصاري,قصيدة رقم 360، منتهى الطلب، طويل، عُ,مُلَبَّدَةٌ غُبْرًا جُثُومًاكأنَّها أفانِيُّ لَولا رُوسُها والأكارِعُ,تشبيه,تشبيه
97,11,الأحوص الأنصاري,قصيدة رقم 360، منتهى الطلب، طويل، عُ,وقَدْ ثَبتَتْ في القَلْبِ مِنْكِ مَوَدَّةٌكَما ثَبتَتْ في الرّاحَتَيْنِ الأصابِعُ,تشبيه,تشبيه
98,14,الأحوص الأنصاري,قصيدة رقم 360، منتهى الطلب، طويل، عُ,مَوارِقُ مِنْ أعْتاقِ لَيْلٍكأنَّها قَطًا قارِبٌ ماءَ النُّمَيْرةِ ساطِعُ,تشبيه,تشبيه
99,20,الفرزدق,قصيدة رقم 167، الطويل، رَا,كَأنّ جُذُوعَ النّخْلِ لمّا غَشينَهُ سَوَابِقُها مِنْ بَينِ ورْدٍ وَأشْقَرَا,تشبيه,تشبيه
100,5,الفرزدق,قصيدة رقم 338، الطَّويل، عَا,كَمَنْعِ أبي لَيْلَى عِياضَ بنَ دَيْهَثٍ عَشِيّةَ خافَ القَوْمُ أنْ يَتَمَزّعا,تشبيه,تشبيه
101,16,أبو النجم العجلي,قصيدة رقم 56، رجز، لِ,لِعْبًاكَتَغْرِيدِ النَّشَاوَى الْمُيَّلِ,تشبيه,تشبيه
102,23,جرير بن عطيّة,قصيدة رقم 149، جرير، البسيط، لِ,إِذًا لقالوا هجا قومًا ذويحسب يأْوون منه إِلى دِفء وأَظلال,تشبيه,تشبيه
103,17,عمار ذو الكناز,قصيدة شعراء عباسيون منسيون 1، مجزوء الرمل، احِ,يسْبِقُ الخَيلَ بتقْريبٍ وشَدٍّكالرّياحِ,تشبيه,تشبيه
104,33,أبو النجم العجلي,قصيدة رقم 56، رجز، لِ,حُمْرًاكَعَصْبِ الْيُمْنَةِ المُنَخَّلِ,تشبيه,تشبيه
105,14,جرير بن عطيّة,قصيدة رقم 149، جرير، البسيط، لِ,أَكلَّ يوم ترى القيسيَّ ضائِفكُمكأَنه ليس في أَهل ولا مال,تشبيه,تشبيه
106,39,أبو النجم العجلي,قصيدة رقم 56، رجز، لِ,يَرْفُلُ فِيمِثْلِ الدِّثَارِ الْمُخْمَلِ,تشبيه,تشبيه
107,2,الفرزدق,قصيدة رقم 261، الطَّويل، رُ,بَناتِ أبٍ حُورٍكَأنّ حُمُولَهَا علَيهَا منَ الوَحْشِ الهِجَانِ جآذِرُهْ,تشبيه,تشبيه
108,1,الأخطل,قصيدة رقم 205، ب، طويل,تَظَلُّ بِها رُبدُ النَّعامِ،كأنَّها إماءٌ، يَرُحْنَ بالعَشِيِّ، حَواطِبُ,تشبيه,تشبيه
109,2,كُثير عزة,قصيدة رقم 28، الطويل، عِ,بكى أنّهُ سهْوُ الدُّموعِكما بكى عشيّةَ جاوَزْنا نجادَ البَدائعِ,تشبيه,تشبيه
110,41,أبو النجم العجلي,قصيدة رقم 56، رجز، لِ,يَنْحَطُّ مِنْ ذِفْرَاهُمِثْلُ الْفُلْفُلِ,تشبيه,تشبيه
111,43,أبو النجم العجلي,قصيدة رقم 56، رجز، لِ,مِثْلَ إِزَارِ الشَّارِبِ المُذَيَّلِ,تشبيه,تشبيه
112,46,أبو النجم العجلي,قصيدة رقم 56، رجز، لِ,كَشَائِطِ الرُّبِّ عَلَيْهِ الْأَشْكَلِ,تشبيه,تشبيه
113,50,أبو النجم العجلي,قصيدة رقم 56، رجز، لِ,مَلْمُومَةٍ لمًّاكَظَهْرِ الْجُنْبُلِ,تشبيه,تشبيه
114,57,أبو النجم العجلي,قصيدة رقم 56، رجز، لِ,كَأَنَّهُ وَهْوَ بِهِ كَالْأَفْكَلِ,تشبيه,تشبيه
115,17,نقائض جرير والفرزدق,الفرزدق، نقيضة رقم 75، الطَّويل، دِ,أَيَطْلُبُ مَجْدَ بَني دارِمٍ عَطِيَّةُكَالجُعَلِ الأَسْوَدِ,تشبيه,تشبيه
116,11,أبو النجم العجلي,قصيدة رقم 56، رجز، لِ,وَالنَّغْضَمِثْلَ الْأَجْرَبِ الْمُدَجَّلِ,تشبيه,تشبيه
117,6,عمر بن أبي ربيعة,قصيدة رقم 402، الخفيف، نِ,وجوارٍ مُسْتَقْتِلاتٍ إلى اللّهْ وِ حسانٍكناضرِ الأغصانِ,تشبيه,تشبيه
118,5,ذو الرمة,قصيدة رقم 41، الطويل، لُهْ.,كأَنَّ الحَمامَ الوُرْقَ في الدار جَثَّمَتْ على خَرِقٍ بين الأَثافي جوازِلُهْ,تشبيه,تشبيه
119,8,ذو الرمة,قصيدة رقم 41، الطويل، لُهْ.,فقال: أَراها بالنُّمَيْطِكأَنَّها نَخيلُ القُرى جَبّارُهُ وأَطاوِلُهْ,تشبيه,تشبيه
120,6,ذو الرمة,قصيدة رقم 62، الطويل، امُ,إِذا هَمَلَت عَيْني لها قالَ صاحبي:بمثلِكَ هذا فِتْنَةٌ وغَرامُ,تشبيه,تشبيه
121,8,ذو الرمة,قصيدة رقم 62، الطويل، امُ,[ أَطاعَتْ بكَ الواشينَ حتىكأَنَّما كلامُكَ إِياها عليكَ حَرامُ],تشبيه,تشبيه
122,3,وضاح اليمن,قصيدة رقم 35، طويل، نْ,أَلَمْ تَرَها صَفْراءَ رُؤْدًا شبابُها أَسِيلَةَ مَجْرى الدَّمْعِكَالشَّادِنِ الأَغَنْ,تشبيه,تشبيه
123,3,ذو الرمة,قصيدة رقم 41، الطويل، لُهْ.,يَلُحْنَكما لاحَتْ كَواكبُ شَتْوَةٍ جافِلُهْ سَرى بالجَهامِ الكُدْرِ عنهُنَّ,تشبيه,تشبيه
124,12,الأخطل,قصيدة رقم 50، رِ، الطّويل,تُدافِعُ أَجوازَ الفَلاةِ وَتَنبَري لَهامِثلُ أَنضاءِ القِداحِ مِنَ السِّدرِ,تشبيه,تشبيه
125,17,الأخطل,قصيدة رقم 50، رِ، الطّويل,أَصيلٌ إِذا اِصطَكَّ الجُباهُكَأَنَّما يُمِرُّ الثِقالَ الراسِياتِ مِنَ الصَّخرِ,تشبيه,تشبيه
126,16,الأخطل,قصيدة رقم 50، رِ، الطّويل,إِذا نَحنُ هايَجنا بِهِ يَومَ مَحفِلٍ رَمى الناسُ بِاَلأَبصارِ أَبيَضَكَالبَدرِ,تشبيه,تشبيه
