#,البيت,الشاعر,القصيدة,التعبير البلاغي,العنصر البلاغي المستعمل,العنصر البلاغي الثانوي
62,16,ابن هانئ الأندلسيّ,قصيدة رقم (50)، الطّويل، فَ.,كأنّ السّماكَينِ اللّذينِ تَظاهَرا على لبدتيهِ ضامنانِ لهُ حتفا,تشبيه,تشبيه
63,11,ابن هانئ الأندلسيّ,قصيدة رقم (50)، الطّويل، فَ.,وولّتْ نجُومٌ للثُّرَيّاكأنّهَا خواتيمُ تَبْدو في بَنان يدٍ تَخْفى,تشبيه,تشبيه
64,19,ابن هانئ الأندلسيّ,قصيدة رقم (50)، الطّويل، فَ.,كأنّ بني نَعشٍ ونعشٌ مطافِلٌ بوجرة َ قد أظللنَ في مهمهٍ خشفا,تشبيه,تشبيه
65,1,ابن هانئ الأندلسيّ,قصيدة رقم (45)، الطّويل، عُ.,لقدأَشْبَهَتْني شمعةٌ في صبابتي وفي هول ما ألقى وما أتوقَّعُ,تشبيه,تشبيه
66,18,ابن هانئ الأندلسيّ,قصيدة رقم (50)، الطّويل، فَ.,كأنّ رقيبَ النّجمِ أجدَلُ مُرْقَبٌ يقلِّبُ تحتَ اللّيل في ريشهِ طرفا,تشبيه,تشبيه
67,10,ابن اللبانة الداني,قصيدة رقم 4، كامل، با,رطبُ اللسانكأنَّ في ألفاظه راحًا مُعتقةً وشدوًا مُطربا,تشبيه,تشبيه
68,11,ابن اللبانة الداني,قصيدة رقم 4، كامل، با,يلقى الكُماةَ فتنثني مذعورةًفكأنه أسدٌ يمرُّ على ظبى,تشبيه,تشبيه
69,20,ابن هانئ الأندلسيّ,قصيدة رقم (50)، الطّويل، فَ.,كأنّ سهيلًا في مطالعِ أفقهِ مُفارِقُ إلْفٍ لم يَجِدْ بعدَه إلفا,تشبيه,تشبيه
70,12,ابن اللبانة الداني,قصيدة رقم 4، كامل، با,راقت على عليائه آدابُهفكأنها زهرُ تفتح في ربى,تشبيه,تشبيه
71,1,ابن هانئ الأندلسيّ,قصيد رقم (29)، الرّجز، رِ.,وبنتِ أيكٍكالشّبابِ النّضْرِكأنّها بينَ الغصونِ الُخضْرِ,تشبيه,تشبيه
72,5,ابن هانئ الأندلسيّ,قصيد رقم (29)، الرّجز، رِ.,جاءتبمثل النّهدِ فوق الصّدرِ تفترُّ عن مثلِ اللّثاتِ الحمرِ,تشبيه,تشبيه
73,3,ابن هانئ الأندلسيّ,قصيد رقم (29)، الرّجز، رِ.,كأنّما مجَّتْ دمًا منْ نَْحرِ أو نشأتْ في تُرْبة ٍ من جَمْرِ,تشبيه,تشبيه
74,3,ابن اللبانة الداني,قصيدة رقم 77، كامل، امُ,وكأن خاطفة البروق قد التظت صفحات سيفك قد علاهن الدمُ,تشبيه,تشبيه
75,2,ابن اللبانة الداني,قصيدة رقم 77، كامل، امُ,فكأنما الاصباح تحتك أشقرُوكأنما الاظلام تحتك أدهمُ,تشبيه,تشبيه
76,59,ابن هانئ الأندلسيّ,قصيدة رقم (16)، الطّويل، خُ.,سَرَينَ فخلّفْنَ النّجومَكأنّها هَجائنُ عِيسٍ في المباركِ نُوَّخُ,تشبيه,تشبيه
77,24,ابن هانئ الأندلسيّ,قصيدة رقم (28)، الكامل، رِ.,وتظَلُّ تسبَحُ في الدّماءِ قِبابُهُمْفكأنّهنَّ سفائنٌ في أبُحرِ,تشبيه,تشبيه
78,32,ابن هانئ الأندلسيّ,قصيدة رقم (28)، الكامل، رِ.,أخلاقنافكأنّنا من نسبةٍ ولداتنا فكأنّنا من عُنصرِ,تشبيه,تشبيه
79,49,ابن هانئ الأندلسيّ,قصيد رقم (27)، الكامل، رُ.,من بعد ما ضربت بهامثلًا قحطانُ واستحيت لها مضرُ,تشبيه,تشبيه
80,41,ابن هانئ الأندلسيّ,قصيدة رقم (16)، الطّويل، خُ.,إذا شدختهُ مشقة ٌ ظلَّ فوقها حسيرًاكما أنَّ الأميم المشدَّخُ,تشبيه,تشبيه
81,2,ابن اللبانة الداني,قصيدة رقم 56، بسيط، فِ,كأنّ حبّةَ قلبي حين رؤيته طارت فقلتُ لها في الخد منه قفي,تشبيه,تشبيه
82,57,ابن هانئ الأندلسيّ,قصيد رقم (27)، الكامل، رُ.,والمرءُكالظلِّ المديدِ ضُحًى والفيءُ يحسرهُ فينحسرُ,تشبيه,تشبيه
83,11,ابن هانئ الأندلسيّ,قصيدة رقم (28)، الكامل، رِ.,وكأنّما سَلَبَ القَشاعِمَ رِيشَها ممّا يَشُقُّ من العَجاجِ الأكدَرِ,تشبيه,تشبيه
84,18,ابن هانئ الأندلسيّ,قصيدة رقم (28)، الكامل، رِ.,أنسوا بهجرانِ الأنيسِكأنّهم في عبقريِّ البِيدِ جنّة ُ عَبْقَرِ,تشبيه,تشبيه
85,12,ابن هانئ الأندلسيّ,قصيدة رقم (28)، الكامل، رِ.,وكأنّما شملتْ قناهُ ببارقٍ متألّقٍ أو عارضٍ مثعْنجِرِ,تشبيه,تشبيه
86,31,ابن هانئ الأندلسيّ,قصيد رقم (27)، الكامل، رُ.,سفحتْ دماءَ الدّارعينَ بها حتّىكأنَّ جفونهمْ ثغرُ,تشبيه,تشبيه
87,22,ابن هانئ الأندلسيّ,قصيدة رقم (28)، الكامل، رِ.,ومَشَوْا على قُطعِ النّفوسِكأنّما تمشي سنابكُ خيلهم في مَرْمَرِ,تشبيه,تشبيه
88,34,ابن هانئ الأندلسيّ,قصيد رقم (27)، الكامل، رُ.,وجَنَوْا على جمرٍ ضلوعَهمُفكأنّما أنفاسهمْ شررُ,تشبيه,تشبيه
89,36,ابن هانئ الأندلسيّ,قصيد رقم (27)، الكامل، رُ.,فكأنّما نامَتْ سُيوفُهُمُ واستَيقَظَتْ من بعدِ ما وترُوا,تشبيه,تشبيه
90,11,ابن هانئ الأندلسيّ,قصيدة رقم (61)، الكامل، لَ.,فكأنّنَا شَمْلُ الدّموعِ تَفَرُّقًاوكأنّنَا سِرُّ الوَداعِ نُحُولا,تشبيه,تشبيه
91,18,ابن هانئ الأندلسيّ,قصيدة رقم (61)، الكامل، لَ.,وتَظُنُّ في لَهَواتِنا أسيافَنَاوتَخالُ في تاجِ المعزِّ رسولا,تشبيه,تشبيه
92,19,ابن اللبانة الداني,قصيدة رقم 7، طويل، بُ,ويرتاح عند الحمد حتىكأنه - وحاشاه - نشوانٌ يلذُّ له الشرب,تشبيه,تشبيه
93,13,ابن اللبانة الداني,قصيدة رقم 7، طويل، بُ,كأني قذًى في مُقلةٍ وهو ناظرٌ بها والمجاذيف التي حَولها هُدْبُ,تشبيه,تشبيه
94,12,ابن اللبانة الداني,قصيدة رقم 7، طويل، بُ,هوى بين عصف الريح والموجمثلما هوى بين أضلاع المعنى به قلب,تشبيه,تشبيه
95,10,ابن اللبانة الداني,قصيدة رقم 7، طويل، بُ,له لجج خضركما أخضرت الربى إلى أُخَرٍ بيضكما ابيضت الكثب,تشبيه,تشبيه
96,2,ابن اللبانة الداني,قصيدة رقم 80، طويل، امُ,لبستُ سوادًا والجميعُ مبيّضٌكأني غرابٌ والأنامُ حمامُ,تشبيه,تشبيه
97,43,ابن هانئ الأندلسيّ,قصيدة رقم (61)، الكامل، لَ.,وكَأنّ بَينَ عنانِهِ ولبانِهِ رَشأٌ يريغُ إلى الكنِاسِ خَذولا,تشبيه,تشبيه
98,20,ابن اللبانة الداني,قصيدة رقم 37، بسيط، رُ,كأنما الأرضُ عني غير راضيةٍ فليس لي وطنٌ فيها ولا وَطر,تشبيه,تشبيه
99,13,ابن اللبانة الداني,قصيدة رقم 44، طويل، سا,وأجيادُها مالت عليك نواعمًاكما مالتِ الأغصانُ فانْعمْ بها لَمسا,تشبيه,تشبيه
100,24,ابن هانئ الأندلسيّ,قصيدة رقم (61)، الكامل، لَ.,والخافِقانِ على الوشيجِكأنّما حاولنَ عندَ المُعصِراتِ دخولا,تشبيه,تشبيه
101,20,ابن هانئ الأندلسيّ,قصيدة رقم (61)، الكامل، لَ.,ذو النُّورِ تُولِيهِ مكارمُ هاشِمٍ شُكرًاكنائلِهِ الجزيلِ جزيلا,تشبيه,تشبيه
102,34,ابن هانئ الأندلسيّ,قصيدة رقم (61)، الكامل، لَ.,وتباشرَ الفلكُ المدارُكأنّمَا يبغي بهِنَّ إلى السّماءِ رَحيلا,تشبيه,تشبيه
103,38,ابن هانئ الأندلسيّ,قصيدة رقم (61)، الكامل، لَ.,وتَظُنُّهُ مُتَخَمِّطًا من كبرِهِوتَخَالُهُ متنمِّرًا لِيَصُولا,تشبيه,تشبيه
104,39,ابن هانئ الأندلسيّ,قصيدة رقم (61)، الكامل، لَ.,وكأنّما الجُرْدُ الجَنائبُ خُرَّدٌ سَفَرَتْ تَشوقُ مُتيَّمًا مَتبولا,تشبيه,تشبيه
105,2,ابن هانئ الأندلسيّ,قصيد رقم (24)، الرّجز، دِ.,أشبهُ بالماءِ منَ الفرَندِ أقدمُ من رامٍ وزيرَ جرْدٍ,تشبيه,تشبيه
106,4,ابن اللبانة الداني,قصيدة رقم 25، طويل، دِ,لقد ضمّ أمر الملك حتىكأنه نطاقٌ بخصْر أو سوار على زند,تشبيه,تشبيه
107,5,ابن اللبانة الداني,قصيدة رقم 1، كامل، ئِهِ,الورد ليس صِفاتُه كصفاتهِ والطير ليسَ غِناؤهاكغِنائهِ,تشبيه,تشبيه
108,19,ابن هانئ الأندلسيّ,قصيدة رقم (57)، الطّويل، كُ.,كأنّ الشّقيقَ الغَضَّ يكحلُ أعيُنًا و يسفكُ في لبّاتِهِ الدَّمَ سافكُِ,تشبيه,تشبيه
109,18,ابن هانئ الأندلسيّ,قصيدة رقم (57)، الطّويل، كُ.,كأنّ كُؤوسًا فيه تسري براحِها إذا علّلَتْها السّارياتُ الحواشكُ,تشبيه,تشبيه
110,17,ابن هانئ الأندلسيّ,قصيدة رقم (57)، الطّويل، كُ.,ألم تريا الرّوضَ الأريضَكأنَّما أسرَّة ُ نورِ الشّمسِ فيه سبائكُ,تشبيه,تشبيه
111,49,ابن هانئ الأندلسيّ,قصيدة رقم (57)، الطّويل، كُ.,أجَزْتُ عليهم عابرًا وتركْتُهَاكأنّ المَنَايا تحتَ جنبي أرائِكُ,تشبيه,تشبيه
112,38,ابن هانئ الأندلسيّ,قصيدة رقم (57)، الطّويل، كُ.,أمتَّ بلِ استحييتَ مَن أنتَ راغمٌكأنّك للآجالِ خَصْمٌ مُماحِكُ,تشبيه,تشبيه
113,36,ابن هانئ الأندلسيّ,قصيدة رقم (57)، الطّويل، كُ.,ووالِ فتوحاتِ البلادِكأنّها مَباسِمُ فجرٍ تجتلي ومضاحكُ,تشبيه,تشبيه
114,33,ابن هانئ الأندلسيّ,قصيدة رقم (57)، الطّويل، كُ.,صقيلاتُ أجْسامِ البُرُوقِكأنّمَا أمرّت عليها بالسَّحابِ المداوكُ,تشبيه,تشبيه
115,62,ابن هانئ الأندلسيّ,قصيدة رقم (57)، الطّويل، كُ.,وضَرْبٌ مُبينٌ للشّؤونِكأنّما هوتْ بفراش الهامِ عنهُ النّيازكُ,تشبيه,تشبيه
116,1,ابن هانئ الأندلسيّ,قصيدة رقم (82)، البسيط، نُ.,أُنظرْ إليهِ وفي التَّحريكِ تسكينُكأنَّما التقمتْ عنهُ التّنانينُ,تشبيه,تشبيه
117,4,ابن هانئ الأندلسيّ,قصيدة رقم (82)، البسيط، نُ.,تَبارَكَ اللهُ ما أمضى أسنّتَهُكأنّما كلُّ فَكٍّ منهُ طاحونُ,تشبيه,تشبيه
118,3,ابن هانئ الأندلسيّ,قصيدة رقم (82)، البسيط، نُ.,كأنّها وخبيتُ الزّاد يضرمُها جهنّمٌ قُذِفَتْ فيها الشّياطينُ,تشبيه,تشبيه
119,5,ابن هانئ الأندلسيّ,قصيدة رقم (82)، البسيط، نُ.,كأنّ بَيْتَ سِلاحٍ فيهِ مُخْتَزَنٌ مِمّا أعَدّتْهُ للرُّسْلِ الفَراعينُ,تشبيه,تشبيه
120,57,ابن هانئ الأندلسيّ,قصيدة رقم (57)، الطّويل، كُ.,همُ لحظوكمُ والنّبوّةُ فيكمُكما لحظَ الشِّيبَ العيونُ الفواركُ,تشبيه,تشبيه
121,8,ابن هانئ الأندلسيّ,قصيدة رقم (82)، البسيط، نُ.,لفَّ الجداءَ بأيديها وأرجلِهاكأنّما افترستهنّ السّراحينُ,تشبيه,تشبيه
122,7,ابن هانئ الأندلسيّ,قصيدة رقم (82)، البسيط، نُ.,كأنّما الحَمَلُ المشويُّ في يدهِ ذو النّونِ في الماءِ لّما عَضَّهُ النّونُ,تشبيه,تشبيه
123,9,ابن هانئ الأندلسيّ,قصيدة رقم (82)، البسيط، نُ.,و غادرَ البطَّ من مثنًى وواحدةٍكأنّما اختطفتهنّ الشّواهينُ,تشبيه,تشبيه
124,2,ابن هانئ الأندلسيّ,قصيدة رقم (46)، الطّويل، عُ.,غداةًكأنّ الأُفْقَ سُدَّ بمثلهِ فعادَ غروبُ الشّمسِ من حيثُ تطلعُ,تشبيه,تشبيه
125,77,ابن هانئ الأندلسيّ,قصيدة رقم (57)، الطّويل، كُ.,فعلنكما هُزَّتْ قَنًا سمهرِيُّة ٌ لسربالِ داودٍ عليَّ هواتكُ,تشبيه,تشبيه
126,16,ابن هانئ الأندلسيّ,قصيدة رقم (47)، الطّويل، عُ.,على كلّ بازٍ أسهمٍ متنكبٍ حثيتكأنّ الماسِخِيَّ له ضِلعُ,تشبيه,تشبيه
127,15,ابن هانئ الأندلسيّ,قصيدة رقم (47)، الطّويل، عُ.,وكلُّ عميمٍ في النّجادِكأنَّمَا تمطّى بمتنيهِ على قرنهِ جذعُ,تشبيه,تشبيه
128,12,ابن هانئ الأندلسيّ,قصيدة رقم (47)، الطّويل، عُ.,وتعرفُ منّي البيدُ حرقًاكأنَّما توغّلَ منهُ بينَ أرجلها سمعُ,تشبيه,تشبيه
129,4,ابن اللبانة الداني,قصيدة رقم 91، وافر، اها,كأنّ الشهب إذ تجري لسعدٍ تخُطُّ لك الطريق على ذراها,تشبيه,تشبيه
130,8,ابن اللبانة الداني,قصيدة رقم 52، بسيط، عُ,ولا لمحت ابن عبادِ بناحيةٍ ألاحسبتُ عمود الصبح ينصدع,تشبيه,تشبيه
131,2,ابن اللبانة الداني,قصيدة رقم 32، كامل، رُ,وكأن نرجسها أصيب بروعتي فعلاه لون مثل لوني أصفرُ,تشبيه,تشبيه
132,3,ابن اللبانة الداني,قصيدة رقم 32، كامل، رُ,فكأنما الريحان روحي كلما تتغير الأشياء لا تتغير,تشبيه,تشبيه
133,7,ابن اللبانة الداني,قصيدة رقم 78، طويل، امُ,أمُلبسيَ النُّعمى قديمًاومثلَها حديثًا، وأحداثُ الزمان عظام,تشبيه,تشبيه
134,4,ابن اللبانة الداني,قصيدة رقم 78، طويل، امُ,وشقّت على النصح المبين جيوبهاكما شقّقت عن زهرهن كمام,تشبيه,تشبيه
135,3,ابن اللبانة الداني,قصيدة رقم 78، طويل، امُ,قد ائتلفت أهواؤها بك جملةًكما ائتلفت في وكرهن حمامُ,تشبيه,تشبيه
