tashbeeh_word,poem,poem_without_tashbeeh
أمْثِلَةٌ,فِي النَّاسِ أمْثِلَةٌ تَدُورُ حَياتُهَا كَمَماتها، ومَمَاتُها كَحَيَاتِهَا,فِي النَّاسِ  تَدُورُ حَياتُهَا كَمَماتها، ومَمَاتُها كَحَيَاتِهَا
أَمِثْلي,وا ضِياعاه! أَمِثْلي يرتجي هذا خَليطا؟,وا ضِياعاه!  يرتجي هذا خَليطا؟
أَمِثْلِي,أَمِثْلِي تُقْبَلُ آلْأَقْوَالُ فِيهِ؟ وَمِثْلُكَ يَسْتَمِرُّ عَلَيهِ كِذْبُ؟, تُقْبَلُ آلْأَقْوَالُ فِيهِ؟ وَمِثْلُكَ يَسْتَمِرُّ عَلَيهِ كِذْبُ؟
أَمْثَلُ,فَاشْمُلْ بِعَفْوِكَ مَنْ تَجَنَّى أَوْ جَنَى وَاسْلُكْ طَرِيقَتَكَ الَّتِي هِيَ أَمْثَلُ,فَاشْمُلْ بِعَفْوِكَ مَنْ تَجَنَّى أَوْ جَنَى وَاسْلُكْ طَرِيقَتَكَ الَّتِي هِيَ 
أَمْثَلُ,لَقَدْ أَرْسَلَتْ لَيْلَى رَسُولًا: بِأَنْ أَقِمْ وَلَا تَقْرَبَنَّا، فَالتَّجَنُّبُ أَمْثَلُ,لَقَدْ أَرْسَلَتْ لَيْلَى رَسُولًا: بِأَنْ أَقِمْ وَلَا تَقْرَبَنَّا، فَالتَّجَنُّبُ 
أَمْثَلُ,أَرَنَّتْ من الشَّيْب العَجِيبِ الذي رأتْ وهل أَنتِ منِّي وَيْبَ غَيْرِك أَمْثَلُ,أَرَنَّتْ من الشَّيْب العَجِيبِ الذي رأتْ وهل أَنتِ منِّي وَيْبَ غَيْرِك 
أَمْثَلُهَا,وَآسْتَبْدَلُوا بَعْدَنَا رِجَالَ وَغَىً يَوَدُّ أَدْنَى عُلَايَ أَمْثَلُهَا,وَآسْتَبْدَلُوا بَعْدَنَا رِجَالَ وَغَىً يَوَدُّ أَدْنَى عُلَايَ 
الأَمْثَل,واخشَوا مقامَ الله جلَّ جلالُه فهي السبيلُ إلى الطريق الأَمْثَل,واخشَوا مقامَ الله جلَّ جلالُه فهي السبيلُ إلى الطريق 
المثل,لا سيما في مديح ممتدَحٍ مُشتهر الذِّكر سائرِ المثل,لا سيما في مديح ممتدَحٍ مُشتهر الذِّكر سائرِ 
المثل,وغير بِدْع أن اشتاقت إلى ملك في كل مجد وخير سائر المثل,وغير بِدْع أن اشتاقت إلى ملك في كل مجد وخير سائر 
المثل,يا زهرة الآداب من لطفه وجدي فيك المثل السائر,يا زهرة الآداب من لطفه وجدي فيك  السائر
المثل,لك المثل الأعلى على الناس كلِّهم وإن غِيظت الأكبادُ حتى تصدَّعا,لك  الأعلى على الناس كلِّهم وإن غِيظت الأكبادُ حتى تصدَّعا
المثل,ولا عَيْب فيهم غَير أَنَّ قدورَهم على المثل امثالَ السنينِ الحواطمِ,ولا عَيْب فيهم غَير أَنَّ قدورَهم على  امثالَ السنينِ الحواطمِ
المثل,أيرجو الشفاعة من سبهم بل المثل السوء للضاربِ,أيرجو الشفاعة من سبهم بل  السوء للضاربِ
المثلةُ,حُرِمتُ منه وقد عَمَّت فواضلُهُ وتلكُمُ المثلةُ الكبرى من المُثَل,حُرِمتُ منه وقد عَمَّت فواضلُهُ وتلكُمُ  الكبرى من المُثَل
المثلوب,كذب الزَّاعِمُونَ أَنِّيَ مشْئُو مٌ ومَانُوا، والثالبُ المثلوب,كذب الزَّاعِمُونَ أَنِّيَ مشْئُو مٌ ومَانُوا، والثالبُ 
المثلُ,بل المثلُ الأعلى لكم من عصابة غلامُ العلا منكم قديمًا وكهلُها,بل  الأعلى لكم من عصابة غلامُ العلا منكم قديمًا وكهلُها
المثلُ,أبا بكرٍ لك المثلُ المعلَّى وَخدُّ عدوكَ التَّربُ الذليلُ,أبا بكرٍ لك  المعلَّى وَخدُّ عدوكَ التَّربُ الذليلُ
المثلِ,يا فقيد المثلِ والحا مدِ، موجودَ المعنِّف,يا فقيد  والحا مدِ، موجودَ المعنِّف
المثَل,فكان ما نلتُ وكانت في المثَل,فكان ما نلتُ وكانت في 
المثْلِ,عزيزُ المثْلِ أفردَه الـ ـإلهُ بحسن صورته,عزيزُ  أفردَه الـ ـإلهُ بحسن صورته
الممثَّلَ,أبا الحسنِ الممثَّلَ منْ سجايا غَدَتْ سُرُجَ المجالسِ والجليسِ,أبا الحسنِ  منْ سجايا غَدَتْ سُرُجَ المجالسِ والجليسِ
المَثلُ,ما أنتَ إلاّ المَثلُ السَّائرُ يَعرِفُه الجاهِلُ والخَابِرُ,ما أنتَ إلاّ  السَّائرُ يَعرِفُه الجاهِلُ والخَابِرُ
المَثَل,يا ضارب المَثَل المزخرَف مُطْرِيا للحقد لم تَقْدح بزَنْدٍ وارِي,يا ضارب  المزخرَف مُطْرِيا للحقد لم تَقْدح بزَنْدٍ وارِي
المَثَلَ,مُشَرِّقًا قَدْ سَئِمَ التّغْرِيبَا أَما سَمِعْتَ المَثَلَ المضْرُوبَا,مُشَرِّقًا قَدْ سَئِمَ التّغْرِيبَا أَما سَمِعْتَ  المضْرُوبَا
المَثَلُ,قِدْرُ الرَّقاشيّ مضروبٌ بها المَثَلُ في كلّ شيءٍ خلا النِّيران تبتذَلُ,قِدْرُ الرَّقاشيّ مضروبٌ بها  في كلّ شيءٍ خلا النِّيران تبتذَلُ
المَثَلُ,ليَ فيهِ المَثَلُ السّائِرُ عَنْ جَالِبِ التّمْرِ إلى أرْضِ هَجَرْ,ليَ فيهِ  السّائِرُ عَنْ جَالِبِ التّمْرِ إلى أرْضِ هَجَرْ
المَثَلُ,فاستخلجتْ فبداها الوَرْدُ يضحَك في خَدٍّ أَنيقٍ لها يا حَبَّذا المَثَلُ,فاستخلجتْ فبداها الوَرْدُ يضحَك في خَدٍّ أَنيقٍ لها يا حَبَّذا 
المَثَلُ,مَيْسانَ؛ من حيثُ ما عطفتَ له، حيّاك وَجْهٌ لحُسْنه المَثَلُ,مَيْسانَ؛ من حيثُ ما عطفتَ له، حيّاك وَجْهٌ لحُسْنه 
المَثَلُ,يا مَنْ لَهُ أَوَّلُ العلْيَا وَآخِرُها وَمَنْ بجُودِ يَدَيْهِ يُضْرَبُ المَثَلُ,يا مَنْ لَهُ أَوَّلُ العلْيَا وَآخِرُها وَمَنْ بجُودِ يَدَيْهِ يُضْرَبُ 
المَثَلُ,قِدْرُ الرَّقاشِيِّ مضْرُوبٌ بها المَثَلُ فِي كُلّ شيء خَلَا النيران تُبْتَذَلُ,قِدْرُ الرَّقاشِيِّ مضْرُوبٌ بها  فِي كُلّ شيء خَلَا النيران تُبْتَذَلُ
المَثَلُ,أَكرِمْ بهم وبنُعْمٍ من مغنّيةٍ ففي الغِناء بنُعْمٍ يُضرَب المَثَلُ,أَكرِمْ بهم وبنُعْمٍ من مغنّيةٍ ففي الغِناء بنُعْمٍ يُضرَب 
المَثَلُ,تَقُولُ سُلَيْمَى وَقَدْ ذَاقَتْ حَلَاوَتَهُ للَّهِ دَرُّكَ مِنْ أيْرٍ بِهِ المَثَلُ,تَقُولُ سُلَيْمَى وَقَدْ ذَاقَتْ حَلَاوَتَهُ للَّهِ دَرُّكَ مِنْ أيْرٍ بِهِ 
المَثَلُ,فقال: أَحسنْتِ ما تُدْعَيْن؟ قُلتُ له: منكوسُهُ لَبِقٌ هذا هو المَثَلُ,فقال: أَحسنْتِ ما تُدْعَيْن؟ قُلتُ له: منكوسُهُ لَبِقٌ هذا هو 
المَثَلِ,يا فَضْلُ غايةَ خَلْق اٌلله كُلَّهمُ إذا ضَربْنا بجود غايةَ المَثَلِ,يا فَضْلُ غايةَ خَلْق اٌلله كُلَّهمُ إذا ضَربْنا بجود غايةَ 
المَثَلِ,وَمُرْسِلَ المَثَلِ الْجَارِي بِكُلِّ عُلَا فَوْقَ البَسِيطَةِ مِنْ ((شَامٍ)) إِلى ((يَمَنِ)),وَمُرْسِلَ  الْجَارِي بِكُلِّ عُلَا فَوْقَ البَسِيطَةِ مِنْ ((شَامٍ)) إِلى ((يَمَنِ))
المَثَلِ,ليعقدَ اليومَ هذا التّاج مفتخرًا إن كان تُوِّجَ يوْمٌ سائرُ المَثَلِ,ليعقدَ اليومَ هذا التّاج مفتخرًا إن كان تُوِّجَ يوْمٌ سائرُ 
المَثَلْ,فاشتَغَلَ القَلبُ بهِ بَلِ اشْتَعَلْ وسَفرَةٍ كمَا يُقالُ في المَثَلْ,فاشتَغَلَ القَلبُ بهِ بَلِ اشْتَعَلْ وسَفرَةٍ كمَا يُقالُ في 
المَثْلُومُ,الهَوَى ظالِمٌ وأنتَ ظَلُومُ كيفَ يَقْوَى عليكُما المَثْلُومُ,الهَوَى ظالِمٌ وأنتَ ظَلُومُ كيفَ يَقْوَى عليكُما 
المُتَمَثِّلُ,وما ضَرَبَ الأمْثالَ في الجَوْرِ قَبْلَنا لأَجْوَرَ من حُكَّامِنا المُتَمَثِّلُ,وما ضَرَبَ الأمْثالَ في الجَوْرِ قَبْلَنا لأَجْوَرَ من حُكَّامِنا 
المُثلَّمُ,ضعُفْنا عَنِ الأشياءِ إلّا عَنِ الأذى وقد يَسِمُ الوَجْهَ الكَهامُ المُثلَّمُ,ضعُفْنا عَنِ الأشياءِ إلّا عَنِ الأذى وقد يَسِمُ الوَجْهَ الكَهامُ 
المُثلَّمُ,ألمْ يَسْألِ الوَبْلُ الَّذِي رَامَ ثَنيْنا فَيُخْبِرَهُ عَنْكَ الحَدِيدُ المُثلَّمُ,ألمْ يَسْألِ الوَبْلُ الَّذِي رَامَ ثَنيْنا فَيُخْبِرَهُ عَنْكَ الحَدِيدُ 
المُثلَّمُ,آليتُ لا أمشي إلى ربِّ لقحةٍ أُساومُه حتى يؤوب المُثلَّمُ,آليتُ لا أمشي إلى ربِّ لقحةٍ أُساومُه حتى يؤوب 
المُثَلَّمُ,أمَا في بَني الجَارُودِ مِنْ رَائِحٍ لَنَا كمَا رَاحَ دُفّاعُ الفُرَاتِ المُثَلَّمُ,أمَا في بَني الجَارُودِ مِنْ رَائِحٍ لَنَا كمَا رَاحَ دُفّاعُ الفُرَاتِ 
المُثَلَّمُ,آلَيْتُ لا أمشي إلى رَبِّ لِقحةٍ أُساومُهُ حتى يؤوبَ المُثَلَّمُ,آلَيْتُ لا أمشي إلى رَبِّ لِقحةٍ أُساومُهُ حتى يؤوبَ 
المُثَلَّمِ,لَعَمرُكَ، ما جَرَّتْ علَيهِم رِماحُهُم دَمَ ابنِ نَهِيكٍ، أو قَتِيلِ المُثَلَّمِ,لَعَمرُكَ، ما جَرَّتْ علَيهِم رِماحُهُم دَمَ ابنِ نَهِيكٍ، أو قَتِيلِ 
المُثَلَّمِ,لَعَمْرُكَ ما جَرَّتْ عَلَيهمْ رِماحُهُمْ دمَ ابنِ نهيكٍ أَوْ قتيلِ المُثَلَّمِ,لَعَمْرُكَ ما جَرَّتْ عَلَيهمْ رِماحُهُمْ دمَ ابنِ نهيكٍ أَوْ قتيلِ 
المُثَلِّبِ,وَجَدْتُ مُدَى الحَوَادِثِ واقعاتٍ بِلَبَّاتِ المُثَلِّبِ والحُوارِ,وَجَدْتُ مُدَى الحَوَادِثِ واقعاتٍ بِلَبَّاتِ  والحُوارِ
المُثَّلُ,يَلِجُونَ بَيْتَ مُجاشِعٍ وإِذا احْتَبَوْا بَرَزوا كَأَنَّهُمُ الجِبالُ المُثَّلُ,يَلِجُونَ بَيْتَ مُجاشِعٍ وإِذا احْتَبَوْا بَرَزوا كَأَنَّهُمُ الجِبالُ 
المُثُلُ,ثمَّ دعتْنِي إلى مُبَارَزَةِ الـ ـحُبِّ فرُجّتْ من تَحْتِنَا المُثُلُ,ثمَّ دعتْنِي إلى مُبَارَزَةِ الـ ـحُبِّ فرُجّتْ من تَحْتِنَا 
المُثّلُ,يَلِجُونَ بَيتَ مُجاشعٍ، وَإذا احتبوْا بزُوا كَأنّهُمُ الجِبَالُ المُثّلُ,يَلِجُونَ بَيتَ مُجاشعٍ، وَإذا احتبوْا بزُوا كَأنّهُمُ الجِبَالُ 
المُثَّلُ,يَلِجُونَ بَيْتَ مُجاشِعٍ وإذا احْتَبوْا بَرَزُوا كأنَّهُمُ الجِبالُ المُثَّلُ,يَلِجُونَ بَيْتَ مُجاشِعٍ وإذا احْتَبوْا بَرَزُوا كأنَّهُمُ الجِبالُ 
المُثْلَا,مَظَاهِريَ العُلْيَا طَرِيقَتِيَ المُثْلَا أَبَى الحُسْنُ أَنْ تُلْفِي لَهَا أَبَدًا مِثْلَا,مَظَاهِريَ العُلْيَا طَرِيقَتِيَ  أَبَى الحُسْنُ أَنْ تُلْفِي لَهَا أَبَدًا مِثْلَا
المِثل,لا في التِّجار ولا العُمال تنصبُني وإنني لقليل المِثل والبدل,لا في التِّجار ولا العُمال تنصبُني وإنني لقليل  والبدل
المِثلَ,وليسَ يُحَسُّ الفَقدُ في مَنزلِ الندى إذا أخلفت أيّامهُ المِثلَ بالمِثْلِ,وليسَ يُحَسُّ الفَقدُ في مَنزلِ الندى إذا أخلفت أيّامهُ  بالمِثْلِ
المِثلِ,يا فَقيدَ المِثلِ لا فِينا ولكِنْ، في كِرامِ النَّاسِ حينَ النَّاسُ ناسُ,يا فَقيدَ  لا فِينا ولكِنْ، في كِرامِ النَّاسِ حينَ النَّاسُ ناسُ
المِثلِ,عزيزِ المِثلِ من كُلِّ الـ ـوَرَى في الحُسْنِ مُنْقَطِع,عزيزِ  من كُلِّ الـ ـوَرَى في الحُسْنِ مُنْقَطِع
المِثلِ,وَلّاهُ مَنصورٌ سَماحَ يَمينِهِ وَمَضى فَقيدَ المِثلِ غَيرَ فَقيدِ,وَلّاهُ مَنصورٌ سَماحَ يَمينِهِ وَمَضى فَقيدَ  غَيرَ فَقيدِ
المِثْلُ,بَديعَ شَكْل غَريبَ حُسْن أعْوزه المِثْلُ والقَرينُ,بَديعَ شَكْل غَريبَ حُسْن أعْوزه  والقَرينُ
المِثْلِ,يا عزيزَ المِثْلِ في البشَرِ جَلَّ عن نِدٍّ وعن قَدَرِ,يا عزيزَ  في البشَرِ جَلَّ عن نِدٍّ وعن قَدَرِ
المِثْلِ,له حَسَبٌ سَمَا في بَيْتِ مَجْدٍ قليلِ المِثْلِ مفقودِ الضَّريبِ,له حَسَبٌ سَمَا في بَيْتِ مَجْدٍ قليلِ  مفقودِ الضَّريبِ
المِثْلِ,بَيْنَ رَحَا المِثْلِ وَبَيْنَ المِيثَاءْ,بَيْنَ رَحَا  وَبَيْنَ المِيثَاءْ
المِثْلِ,عَزيزُ المِثْلِ أَفْرَدَهُ الإلَهُ بِحُسْنِ صُورَتِهِ,عَزيزُ  أَفْرَدَهُ الإلَهُ بِحُسْنِ صُورَتِهِ
المِثْلِ,وكَمْ راكبٍ ظَهْرَ الظّلام مُغَلّسٍ إلى قَهْوةٍ صَفْراءَ مَعْدومةِ المِثْلِ,وكَمْ راكبٍ ظَهْرَ الظّلام مُغَلّسٍ إلى قَهْوةٍ صَفْراءَ مَعْدومةِ 
المِثْلِ,عَزِيزِ المِثْلِ مِنْ كُلِّ الْـ ـوَرَى فِي الحُسْنِ مُنْقَطِعِ,عَزِيزِ  مِنْ كُلِّ الْـ ـوَرَى فِي الحُسْنِ مُنْقَطِعِ
الْمَثَلِ,أَنْوَارُهُ فِي سَمَاءِ الْعَدْلِ نَيّرَةٌ تَبْدُو، وَآثارُهُ أَسْرَى مِنَ الْمَثَلِ,أَنْوَارُهُ فِي سَمَاءِ الْعَدْلِ نَيّرَةٌ تَبْدُو، وَآثارُهُ أَسْرَى مِنَ 
الْمُثَلَّمِ,وَالنُّؤْيِ بَعْدَ عَهْدِهِ الْمُثَلَّمِ,وَالنُّؤْيِ بَعْدَ عَهْدِهِ 
الْمُثَلَّمِ,وَقَدْ تَخِذَتْ رِجْلي لَدَى جَنْبِ غَرْزِهَا نَسِيفًا كأُفْحُوص القَطَاةِ الْمُثَلَّمِ,وَقَدْ تَخِذَتْ رِجْلي لَدَى جَنْبِ غَرْزِهَا نَسِيفًا كأُفْحُوص القَطَاةِ 
الْمُمَثَّلِ,لَهَا كَبِدٌ مَلْسَاءُ ذَاتُ أَسِرَّةٍ وَنَحْرٌ كَفَاثُورِ الصَّرِيفِ الْمُمَثَّلِ,لَهَا كَبِدٌ مَلْسَاءُ ذَاتُ أَسِرَّةٍ وَنَحْرٌ كَفَاثُورِ الصَّرِيفِ 
الْمِثْلُ,مَنْ لِلْبُدُورِ وَرَبَّاتِ الْخُدُورِ بِهَا الْمِثْلُ غَيْرُ مُطِيع، وَالْمِثَالُ عَصِي,مَنْ لِلْبُدُورِ وَرَبَّاتِ الْخُدُورِ بِهَا  غَيْرُ مُطِيع، وَالْمِثَالُ عَصِي
بأَمثَلِ,أَلا أَيُّها اللَّيْلُ الطَّويلُ أَلَا انْجل بصُبْحٍ وما الإِصْباحُ مِنك بأَمثَلِ,أَلا أَيُّها اللَّيْلُ الطَّويلُ أَلَا انْجل بصُبْحٍ وما الإِصْباحُ مِنك 
بالمثل,لا ترضَ بالمثل الذي مثلتَه مثلا، ففيه مقالة ٌ للزاري,لا ترضَ  الذي مثلتَه مثلا، ففيه مقالة ٌ للزاري
بالمَثَلِ,لا تَلْعَبَنّ بكَ الدّنْيا وَزُخرُفُها، فإنّها قُرِنَتْ في الظّلّ بالمَثَلِ,لا تَلْعَبَنّ بكَ الدّنْيا وَزُخرُفُها، فإنّها قُرِنَتْ في الظّلّ 
بمثل,وغُيرت نشواتُ اللائدين بهم بمثل ما قصفوا من كل منآد,وغُيرت نشواتُ اللائدين بهم  ما قصفوا من كل منآد
بمثل,فلم أزل أَشفي حرارتها بمثل رأس الرَّجل الأصلع,فلم أزل أَشفي حرارتها  رأس الرَّجل الأصلع
بمثل,فُزْ فَوْزَهُ، واسْعَدْ بمثل نجاته ووقاك شانِئُكَ البوارَ المِجْوَحَا,فُزْ فَوْزَهُ، واسْعَدْ  نجاته ووقاك شانِئُكَ البوارَ المِجْوَحَا
بمثل,عُدُّوا الفعال وزِنوا بالميزان جيئوا بمثل قعْنَب والعَلْهَان,عُدُّوا الفعال وزِنوا بالميزان جيئوا  قعْنَب والعَلْهَان
بمثل,وهم شدخوا بواطن حارِقَيْها بمثل فَراسِنِ الجمل الشام,وهم شدخوا بواطن حارِقَيْها  فَراسِنِ الجمل الشام
بمثل,سَتَعْلَم أَنِّي مُقْصِدٌ لكَ عامِدا بمثل ذراع البَكْرِ غَيْرِ كَسَادِ,سَتَعْلَم أَنِّي مُقْصِدٌ لكَ عامِدا  ذراع البَكْرِ غَيْرِ كَسَادِ
بمثل,وكل لهو بمثل وصلكُمُ ذو غُرر إذ سواه ذو عُرر,وكل لهو  وصلكُمُ ذو غُرر إذ سواه ذو عُرر
بمثل,أولئك آباءٌ بمثل تُراثهم تَشَاوس وسط المحفل المُتشاوس,أولئك آباءٌ  تُراثهم تَشَاوس وسط المحفل المُتشاوس
بمثل,ستراكَ عيناهُ بمثل مَقامهِ وببعضِ ذاك يكون غير مَليِّ,ستراكَ عيناهُ  مَقامهِ وببعضِ ذاك يكون غير مَليِّ
بمثل,وحقيقٌ بمثل قدرك في الأقْـ ـدار حسنُ الحفاظِ والإيجاب,وحقيقٌ  قدرك في الأقْـ ـدار حسنُ الحفاظِ والإيجاب
بمثلك,أنشأْتُ أسألهم بمثلك بعدما أرجَت بريّاك الرُّبى والأهْجُل,أنشأْتُ أسألهم  بعدما أرجَت بريّاك الرُّبى والأهْجُل
بمثلك,قال الإمام وقد درَّت حلوبته: بمثلك استغزَر المستغزِر اللَّقَحا,قال الإمام وقد درَّت حلوبته:  استغزَر المستغزِر اللَّقَحا
بمثلك,وما بي سخائي عنك لكن تتبعي رضاك وهل يسخو بمثلك أمثالي,وما بي سخائي عنك لكن تتبعي رضاك وهل يسخو  أمثالي
بمثلك,بمثلك فَلْتَرْم الملوكُ ثغورَها فما جانبٌ يُولَى بمثلك أثلمُ, فَلْتَرْم الملوكُ ثغورَها فما جانبٌ يُولَى  أثلمُ
بمثلكم,ولئن تَهيِّأَ للزمانِ وِلادكم إن الزمان بمثلكم لَعقيمُ,ولئن تَهيِّأَ للزمانِ وِلادكم إن الزمان  لَعقيمُ
بمثلكمْ,وما كانتِ الأيامُ تأتي بمثلكمْ قديمًا ولكن كنتُمُ بَيْضَة َ العُقرِ,وما كانتِ الأيامُ تأتي  قديمًا ولكن كنتُمُ بَيْضَة َ العُقرِ
بمثلنا,وشامخُ العرنينِ جاثليقٍ مروَّعٍ بمثلنا مطروقِ,وشامخُ العرنينِ جاثليقٍ مروَّعٍ  مطروقِ
بمثله,سقيمة طرف العين سُقما بمثله يصاب صحيحات القلوبِ فتسقَم,سقيمة طرف العين سُقما  يصاب صحيحات القلوبِ فتسقَم
بمثله,ولم يزل للإمام سَعْيٌ بمثله تُحْرَز الرهان,ولم يزل للإمام سَعْيٌ  تُحْرَز الرهان
بمثله,فقلت: كلا، ولكن طوله عجب بمثله شُغِل السُّمار والسمر,فقلت: كلا، ولكن طوله عجب  شُغِل السُّمار والسمر
بمثله,اذا انفذوا ما فيه جاؤا بمثله غطارفة أهل السماحة والمجد,اذا انفذوا ما فيه جاؤا  غطارفة أهل السماحة والمجد
بمثله,غُلب العزاءُ على ابن حفص والأَسَى إِنَّ العَزَاء بمثله مَغْلوب,غُلب العزاءُ على ابن حفص والأَسَى إِنَّ العَزَاء  مَغْلوب
بمثله,وصاحبتُها ما لو صحبت بمثله على ذعرها أرويَّةً لاطمأنتِ,وصاحبتُها ما لو صحبت  على ذعرها أرويَّةً لاطمأنتِ
بمثله,ما قُوبلَتْ رِجَلُ الملوك بمثله إلا ليملك مشرقا أو مغربا,ما قُوبلَتْ رِجَلُ الملوك  إلا ليملك مشرقا أو مغربا
بمثله,ولو شئت قابلتُ الصدود بمثله ولكنني أبقيت للصلح موضعا,ولو شئت قابلتُ الصدود  ولكنني أبقيت للصلح موضعا
بمثله,فيا ليتَ لي ما كانَ غَيري بمثله يُعابُ إذا قالوا هو الطاعم الكاسي,فيا ليتَ لي ما كانَ غَيري  يُعابُ إذا قالوا هو الطاعم الكاسي
بمثله,ولو انّه فُجعت حِراء بمثله لرأيتُ راسي صخرها يتبدّد,ولو انّه فُجعت حِراء  لرأيتُ راسي صخرها يتبدّد
بمثلها,قال بعض المُجّان لما رآها ولذيذٌ بمثلها الطنز هش:,قال بعض المُجّان لما رآها ولذيذٌ  الطنز هش:
بمثلها,أُعانِي شرورا لا قِوامَ بمثلها وأدناسَ طبعٍ لا يُهذِّبُهُ الصَّقْلُ,أُعانِي شرورا لا قِوامَ  وأدناسَ طبعٍ لا يُهذِّبُهُ الصَّقْلُ
بمثلها,تجود بنفسٍ، لا نجود بمثلها فأنت بها، يوم اللقاء، خصيبُ,تجود بنفسٍ، لا نجود  فأنت بها، يوم اللقاء، خصيبُ
بمثلها,أَقولُ لنفسٍ لا يُجادُ بمثلها أَقِلِّي المِزاحَ إِنني غيرُ مُقصِر,أَقولُ لنفسٍ لا يُجادُ  أَقِلِّي المِزاحَ إِنني غيرُ مُقصِر
بمثلها,أهدى إليك عقيلةً من شعره بِكْرًا يَقِلُّ بمثلها إسماحه,أهدى إليك عقيلةً من شعره بِكْرًا يَقِلُّ  إسماحه
بمثلها,لقد استفاض لك الثناءُ بحيلةٍ صعْبُ الأمورِ بمثلها ينقادُ,لقد استفاض لك الثناءُ بحيلةٍ صعْبُ الأمورِ  ينقادُ
بمثلها,وحَقيقٌ بمثلها مَنْ هواهُ فيك عَيْن الصريح لا المأشُوبُ,وحَقيقٌ  مَنْ هواهُ فيك عَيْن الصريح لا المأشُوبُ
بمثلها,لئِن عاد لي عبدُ العزيزِ بمثلها وأمكنَني مِنها إذًا لا أقيلُها,لئِن عاد لي عبدُ العزيزِ  وأمكنَني مِنها إذًا لا أقيلُها
بمثلهم,منا فوارس لن تجيء بمثلهم وبناءُ مكرمة أَشم طويل,منا فوارس لن تجيء  وبناءُ مكرمة أَشم طويل
بمثلهما,رسا جبلا حَزْمٍ وعزم وقوة بمثلهما تحمَى القواصي وتُعْصَمُ,رسا جبلا حَزْمٍ وعزم وقوة  تحمَى القواصي وتُعْصَمُ
بمثلهنَّ,ثم بعثنا ألفَ عينٍ في جَسدَ فجئننا بمثلهنَّ في العددْ,ثم بعثنا ألفَ عينٍ في جَسدَ فجئننا  في العددْ
بمثلهَا,وَفيهنَّ نفسٌ لو يُقَاسُ بمثلهَا جميعُ الورى كانت أجلَّ وأخطرَا,وَفيهنَّ نفسٌ لو يُقَاسُ  جميعُ الورى كانت أجلَّ وأخطرَا
بمثلهَا,بمثلهَا تُقْطَعُ المَوْمَاةُ عَنْ عُرُضٍ إذا تَبَغَّمَ في ظَلْمَائِها البُومُ, تُقْطَعُ المَوْمَاةُ عَنْ عُرُضٍ إذا تَبَغَّمَ في ظَلْمَائِها البُومُ
بمثلهَا,فهذي مساعينا فجيئُوا بمثلهَا وهذا أبونا فابتغُوا مثلَهُ أبَا,فهذي مساعينا فجيئُوا  وهذا أبونا فابتغُوا مثلَهُ أبَا
بمثلهِ,أرْيَحيٌّ، بمثلهِ يُبْتنى المجـ ـدُ، وتسمو به فروعُ البناء,أرْيَحيٌّ،  يُبْتنى المجـ ـدُ، وتسمو به فروعُ البناء
بمثلهِ,غَدَتْ وبها شيءٌ ورَاحَتْ بمثلهِ لِتُرْغِدَهُ من حشيها أَنْ تَرَغَّدَا,غَدَتْ وبها شيءٌ ورَاحَتْ  لِتُرْغِدَهُ من حشيها أَنْ تَرَغَّدَا
