البيت,التعبير البلاغي,العنصر البلاغي المستعمل
13,تَرامَيْن,استعارة
13,تَرامَيْن بالأَجواز,مجاز
13,فأدنين من خَلْجِ البُرين الذفاريا,كناية
14,إِذا بلَّغت رحلي رجيعٌ أَملها نزوليَ بِالمَوْماةِ ثم ارتحاليا,كناية
14,إِذا بلَّغت رحلي رجيعٌ أَملها نزوليَ بِالمَوْماةِ ثم ارتحاليا,مبالغة
14,رجيعٌ,كناية
14,رجيعٌ,كناية
14,أَملها نزوليَ,مجاز
14,رحلي,مجاز
14,نزوليَ ارتحاليا,طباق
14,رحلي ارتحاليا,رد الأعجاز على الصدور
14,رحلي ارتحاليا,جناس
15,مُخَفِّقة,كناية
15,مُخَفِّقة,مجاز
15,قليلا بها ما ينظرون التواليا,كناية
16,موتى الشخاص,استعارة
16,تجول موتى,طباق
16,تجول بها موتى الشخاص كأَنها قذى غَرَق يُضْحِي به الماء طافيا,تشبيه
16,يُضْحِي به الماء طافيا,مجاز
16,قذى غَرَق,استعارة
17,رَهبَى بِرَهْبَى برهبى,تكرار (عام)
17,ذي الحلم,كناية
17,يتبع الهوى,استعارة
17,الأَقصى,كناية
17,الذي ليس لاقيا,كناية
18,ذي صداقة وغَيرانَ,طباق
18,يدعُو وَيْلَه من حِذَاريا,كناية
19,أتيح ليَ الهوى,استعارة
19,ما ترى من هِجرتي واجتنابيا,استعارة
20,بِيَ لقلت سمعنا,التفات
21,قَرٍيبٌ وما دانيتُ,طباق
21,دانيتُ دَانيا,اشتقاق
21,وما دانيتُ بالوُد دَانيا,كناية
22,طرقت لا حِين مَطْرَق,طباق
22,طرقت مَطْرَق,اشتقاق
22,وأَشعث,كناية
22,ماضيا,استعارة
22,أَحَمَّ,كناية
22,عُمانيا,كناية
22,أَحَمَّ عُمانيا وأَشعث ماضيا,مقابلة
23,قَطَريات,كناية
23,تَغَوَّلَتْ غاولن,جناس
23,تَغَوَّلَتْ بنا البيد,مجاز
23,تَغَوَّلَتْ البيد,استعارة
23,غاولن الحُزُوم القياقيا,مجاز
23,إِذا ما تَغَوَّلَتْ بنا البيد غاولن الحُزُوم القياقيا,كناية
23,قَطَريات,كناية
24,مِنْ سَارٍ,كناية
24,ذي حاجة,كناية
26,ذي العرش,كناية
26,يُقَرِّبَ نائيًا,طباق
26,لِيَجْمَعَ شعبًا أَو يُقَرِّبَ نائيًا,مقابلة
26,نائيًا,كناية
26,شعبًا,كناية
27,أَغلب الهوى,استعارة
27,أُخفِيَ الوجدَ,استعارة
27,وأَن أُخفِيَ الذي ليس خافيا,طباق
27,وأَن أُخفِيَ الوجدَ الذي ليس خافيا,رد الأعجاز على الصدور
28,منك,تجريد
28,حسراتِ القلب,مجاز
28,في إِثْرِ,استعارة
28,من يُرى قريبًا، ويُلفى خَيْرُهُ منك قاصيا,كناية
28,قريبًا، قاصيا,طباق
28,خَيْرُهُ,كناية
28,خَيْرُهُ قاصيا,استعارة
28,ويُلفى خَيْرُهُ,استعارة
29,فحالَكِ لحاليا,رد الأعجاز على الصدور
29,فحالَكِ لحاليا,تكرار (عام)
29,حاجتي,كناية
29,فحالَكِ,كناية
29,إِني مُسْتَمِرٌّ لحاليا,كناية
29,فاستمررتِ مُسْتَمِرٌّ,اشتقاق
30,جِمال البينِ,مجاز
30,تحمّلي,كناية
30,فيهم,كناية
30,فما لَكِ ولا ليا,تكرار (عام)
30,فما لَكِ ولا ليا,رد الأعجاز على الصدور
30,ولا ليا,كناية
31,مالكَ ماليا,تكرار (عام)
32,جرير المواليا,طباق
33,بِأَيِّ نجاد تحمل السيفَ بعدما قَطَعْتَ القُوى من مِحْمَلٍ كان باقيا,استعارة
34,بأَي سِنان تطعُن القوم بعدما نزعتَ سِنانًا من قناتك ماضيا,استعارة
34,سِنان سِنانًا,تكرار (عام)
35,لا تخافا وخافا,طباق
35,نَبْوَتِي,كناية
35,مُلِمَّةٍ,استعارة
35,مُلِمَّةٍ,كناية
35,وخافا المنايا أَن تفوتكما بيا,كناية
35,أَلا لا تخافا نَبْوَتِي في مُلِمَّةٍ,كناية
35,أَلا لا تخافا نَبْوَتِي في مُلِمَّةٍ وخافا المنايا أَن تفوتكما بيا,مقابلة تضاد
35,وخافا المنايا أَن تفوتكما بيا,استعارة
36,فقد كنتُ نارًا يصطليها عدوُّكم,تشبيه
36,وحِرْزًا لما أَلْجَأْتُمُ من ورائيا,تشبيه
36,فقد كنتُ نارًا يصطليها عدوُّكم وحِرْزًا لما أَلْجَأْتُمُ من ورائيا,مقابلة
37,وباسِطَ خير فيكمُ بيمينه وقابِضَ شر عنكمُ بشماليا,موازنة موسيقية
37,بيمينه بشماليا,التفات
37,وباسِطَ خير فيكمُ بيمينه وقابِضَ شر عنكمُ بشماليا,مقابلة
37,وباسِطَ خير فيكمُ بيمينه,استعارة
37,وقابِضَ شر عنكمُ بشماليا,استعارة
37,وقابِضَ شر,استعارة
38,لَعَفُّ الفقر,كناية
38,مُشْتَرَكُ الغِنَى,كناية
38,الفقر الغِنَى,طباق
38,سَرِيعٌ داري-,مجاز
39,الجَنان,كناية
39,جَرِيُّ الجَنان,مجاز
39,لا أُهال من الردى,كناية
39,إِذا ما جعلت السيفَ من عن شماليا,كناية
40,ولَلسَّيْفُ أَشوى وَقْعَةً من لسانيا,كناية
40,وَقْعَةً من لسانيا,استعارة
40,لسانيا,مجاز
40,لسيفي ولَلسَّيْفُ,تكرار (عام)
40,وليست لسيفي في العظام بقيةٌ,كناية
1719,الهوى الهوى,جناس
3739,بشماليا شماليا,تكرار (عام)
172027,الهوى الهوى الهوى,تكرار (عام)
1,حَيِّ حَيِّ تَذَكَّرَ أَشكو إِلينا نظرتُ تُعَيِّرني أَبصر له أَبصرت ليا جماليا إِلينا فؤاديا حباليا,التفات
20,الهوى دانيتُ دَانيا,اشتقاق
25,إِذا ما جَعلتُ السِّيَّ بيني وبينها دعوتُ إِلى ذي العرش ربِّ محمد وحرَّةَ ليلى والعَقِيقَ اليمانيا لِيَجْمَعَ شعبًا أَو يُقَرِّبَ نائيًا,تضمين (جريان)
30,مالكَ فما لَكِ,جناس
30,مالكَ فما لَكِ,جناس
3,ماليا ولا ليا,جناس
33,بِأَيِّ نجاد تحمل السيفَ بعدما بأَي سِنان تطعُن القوم بعدما قَطَعْتَ القُوى من مِحْمَلٍ كان باقيا نزعتَ سِنانًا من قناتك ماضيا,مقابلة
38,لَعَفُّ الفقر مُشْتَرَكُ الغِنَى جَرِيُّ الجَنان سَرِيعٌ انتقاليا,مقابلة
9,دُنُوَّ ليلى وولَّيْنَ الخدود العواصيا ليلى,تكرار (عام)
