رقم البيت,التعبير البلاغي,العنصر البلاغي
14,فَقُلْتُ عَقَرْتَ يا امْرَأ القَيْسِ فَانْزِلِ تُبْعِدِيني,التفات
14,تَقُولُ تَقُولُ وقَدْ مَالَ الغَبِيْطُ بَنَا مَعاً فَقُلْتُ فَقُلْتُ لَهَا سِيْرِي وأرْخِي زِمَامَهُ عَقَرْتَ بَعِيْرِي يا امْرَأ القَيْسِ فَانْزِلِ ولا تُبْعِدِيني مِنْ جَنَاكِ المُعَلَّلِ,المراجعة
14,عَقَرْتَ بَعِيْرِي,مجاز
15,جَنَاكِ,استعارة
16,ذِيْ تَمَائِمَ,كناية
16,مُحْوِلِ,كناية
16,فَمِثْلِكِ حُبْلَى قَدْ طَرَقْتُ ومُرْضِعٍ إذا ما بَكَى منْ خَلْفَهَا انْصَرَفَتْ لَهُ فألْهَيْتُهَا عَنْ ذِيْ تَمَائِمَ مُحْوِلِ بِشِقٍ وَتَحْتِي شِقُّهَا لَمْ يُحَوَّلِ,مبالغة
16,ذِيْ تَمَائِمَ,كناية
17,بِشِقٍ شِقُّهَا,تكرار (عام)
17,وَتَحْتِي شِقُّهَا لَمْ يُحَوَّلِ,كناية
18,تَعَذَّرَتْ أفَاطِمَ كُنْتِ أزْمَعْتِ فَأجْمِلِي,التفات
19,فَأجْمِلِي,استعارة
20,القَلْبَ,مجاز
20,أغَرّكِ أغَرّكِ مِنِّي مِنِّي أنَّ أنَّ حُبَّكِ حُبَّكِ قَاتِلي قَاتِلي وأنَّكِ مِهْمَا تأمُرِي القَلْبَ يَفْعَلِ,مجاز
20,قَاتِلي,استعارة
21,قَدْ ساءَتْكِ مِنِّي خَلِيْقَة,مجاز
21,فَسُلِّي تَنْسُلِ,جناس
21,فَسُلِّي تَنْسُلِ,رد الأعجاز على الصدور
21,ثِيَابِي ثِيَابِكِ,تكرار (عام)
21,فَسُلِّي ثِيَابِي منْ ثِيَابِكِ تَنْسُلِ,استعارة
21,فإنْ تَكُ قَدْ ساءَتْكِ مِنِّي خَلِيْقَة ٌ فَسُلِّي ثِيَابِي منْ ثِيَابِكِ تَنْسُلِ,كناية
22,ذَرَفَتْ عَيْنَاكِ,مجاز
22,إلَّا لتَضْرِبي بِسَهْمَيْكِ في أعشَارِ قَلْبٍ مُقَتَّلِ,استعارة
22,قَلْبٍ مُقَتَّلِ,مجاز
23,لا يُرَامُ خَبَاؤُهَا,كناية
23,تَمَتَّعْتُ منْ لَهْوٍ بها غَيْرَ غَيْرَ مُعْجَلِ مُعْجَلِ وبَيْضَةِ خِدْرٍ لا يُرَامُ خَبَاؤُهَا,كناية
23,غَيْرَ مُعْجَلِ,كناية
23,وبَيْضَةِ,استعارة
23,وبَيْضَةِ خِدْرٍ,كناية
24,أهْوالًا,مجاز
24,تَجَاوَزْتُ أهْوالًا إلَيْهَا ومَعْشَراً عَليَّ حِرَاصًا لو يُسِرُّون مَقْتَلِي,كناية
25,تَعَرَّضَتْ تَعَرَّضَ,اشتقاق
25,إذا ما الثُّرَيَّا في السَّمَاءِ تَعَرَّضَتْ,مجاز
25,إذا ما الثُّرَيَّا في السَّمَاءِ تَعَرَّضَتْ تَعَرَّضَ أثْنَاءِ الوِشَاحِ المُفَصَّلِ,تشبيه
25,تَعَرَّضَ أثْنَاءِ الوِشَاحِ,مجاز
25,إذا ما الثُّرَيَّا في السَّمَاءِ تَعَرَّضَتْ تَعَرَّضَ أثْنَاءِ الوِشَاحِ المُفَصَّلِ,كناية
26,فَجِئْتُ وقَدْ نَضَتْ لِنَوْمٍ ثِيَابَهَا لَدَى السِّتْرِ إلَّا لِبْسَةَ المُتَفَضِّلِ,كناية
26,نَضَتْ ثِيَابَهَا لِبْسَةَ,طباق
27,ما لَكَ حِيْلَةٌ,استعارة
27,الغَوَايَةَ تَنْجَلِي,استعارة
28,مِرْطٍ,مجاز
28,تَجُرُّ وَرَاءَنَا عَلَى إِثْرِنَا أذْيَالَ مِرْطٍ,كناية
28,أذْيَالَ مِرْطٍ,استعارة
28,مِرْطٍ مُرَحَّلِ,كناية
29,وانْتَحَى بِنَا بَطْنُ خَبْتٍ,مجاز
29,بَطْنُ خَبْتٍ,استعارة
30,هَضِيْمَ الكَشْحِ,استعارة
30,رَيَّا المُخَلْخَلِ,استعارة
30,المُخَلْخَلِ,كناية
30,رَيَّا المُخَلْخَلِ,كناية
31,مُفَاضَة,استعارة
31,غَيْرُ مُفَاضَة,كناية
31,تَرَائَبُها مَصْقُولَةٌ,استعارة
31,تَرَائَبُها مَصْقُولَةٌ كالسَّجَنْجَلِ,تشبيه
31,تَرَائَبُها مَصْقُولَةٌ كالسَّجَنْجَلِ,كناية
32,أسِيْلٍ,كناية
32,بِنَاظِرَةٍ,كناية
32,وتَتَّقِي بِنَاظِرَةٍ منْ وَحْشِ وَجْرَةَ مُطْفِلِ,تشبيه
32,وَحْشِ وَجْرَةَ,كناية
33,وجِيْدٍ كَجِيْدِ,تكرار (عام)
33,وجِيْدٍ كَجِيْدِ الرِّئْمِ لَيْسَ بِفَاحِشٍ إذا هيَ نَصَّتْهُ وَلَا بمُعَطَّلِ,تشبيه
33,وَلَا بمُعَطَّلِ,كناية
34,غَدَائِرُهُ مُسْتَشْزَرَاتٌ,مجاز
34,مُثَنًّى وَمُرْسَلِ,كناية
34,تَضِلُّ العِقَاصُ,استعارة
34,تَضِلُّ العِقَاصُ في مُثَنًّى وَمُرْسَلِ,كناية
34,وَمُرْسَلِ مُرْسَلِ,تكرار (عام)
35,وكَشْحٍ لَطِيْفٍ كَالجَديْلِ مُخَصَّرٍ,تشبيه
35,وسَاقٍ كَأنْبُوبِ السَّقِيِّ المُذَلَّلِ,تشبيه
35,وكَشْحٍ لَطِيْفٍ كَالجَديْلِ مُخَصَّرٍ وسَاقٍ كَأنْبُوبِ السَّقِيِّ المُذَلَّلِ,مقابلة
35,كَالجَديْلِ,كناية
35,السَّقِيِّ,كناية
35,السَّقِيِّ المُذَلَّلِ,استعارة
36,وَيُضْحِي فَتِيْتُ المِسْكِ فَوْقَ فِرَاشِهَا,كناية
36,وَيُضْحِي فَتِيْتُ المِسْكِ فَوْقَ فِرَاشِهَا,مجاز
36,وَيُضْحِي الضُّحَى,اشتقاق
36,نَؤُومُ الضُّحَى,كناية
36,لم تَنْتَطِقْ عنْ تَفَضُّلِ,كناية
37,بِرَخْصٍ,كناية
37,بِرَخْصٍ شَثْنٍ,طباق
37,وتَعْطُو بِرَخْصٍ غَيْرِ شَثْنٍ كَأنَّهُ أسارِيْعُ ظَبْيٍ أوْ,تشبيه
37,أوْ مَسَاوِيْكُ إِسْحِلِ,تشبيه
38,تُضِيءُ الظَّلامَ,طباق
38,تُضِيءُ الظَّلامَ بالعِشَاءِ كَأنَّهَا مَنَارَة ُ مُمْسَى رَاهِبٍ مُتَبَتِّلِ,تشبيه
38,الظَّلامَ مَنَارَة,طباق
38,تُضِيءُ الظَّلامَ بالعِشَاءِ كَأنَّهَا مَنَارَة ُ مُمْسَى رَاهِبٍ مُتَبَتِّلِ,مبالغة
38,مُتَبَتِّلِ,استعارة
39,إلَى مِثْلهَا يَرْنُو الحَلِيْمُ صَبَابَةً إذا ما اسْبَكَرَّتْ بَيْنَ دِرْعٍ ومِجْوَلِ,مبالغة
39,الحَلِيْمُ صَبَابَةً,طباق
39,دِرْعٍ ومِجْوَلِ,طباق
39,إذا ما اسْبَكَرَّتْ بَيْنَ دِرْعٍ ومِجْوَلِ,كناية
40,غَذَاهَا نَمِيْرُ الماءِ غَيْرَ مُحلَّلِ كَبِكْرِ المُقَانَاةِ البَيَاضَ بِصُفْرَةٍ,تشبيه
40,كَبِكْرِ,استعارة
40,كَبِكْرِ المُقَانَاةِ البَيَاضَ بِصُفْرَةٍ,كناية
40,كَبِكْرِ المُقَانَاةِ,مجاز
40,غَذَاهَا,استعارة
40,غَذَاهَا نَمِيْرُ الماءِ,مجاز
40,غَيْرَ مُحلَّلِ,كناية
41,وَلَيْسَ فُؤَادي بِمُنْسَلِي,مجاز
41,عَنْ هَوَاكِ بِمُنْسَلِي,استعارة
41,وَلَيْسَ بِمُنْسَلِي تَسَلَّت,طباق
41,عمَايَاتُ,استعارة
41,عمَايَاتُ الرِّجالِ,كناية
41,بِمُنْسَلِي تَسَلَّت,اشتقاق
41,بِمُنْسَلِي تَسَلَّت,رد الأعجاز على الصدور
41,تَسَلَّت عمَايَاتُ الرِّجالِ,مجاز
42,خَصْمٍ ألْوَى,استعارة
42,ألْوَى مُؤْتَلِي,جناس
42,ألْوَى مُؤْتَلِي,رد الأعجاز على الصدور
42,خَصْمٍ نَصِيْحٍ,طباق
42,نَصِيْحٍ تَعْذَالِهِ,طباق
43,ولَيْلٍ كموج البَحْر,تشبيه
43,ولَيْلٍ مُلْقٍ سُدُولَهُ عليَّ بأنْوَاعِ الهُمُومِ لِيَبْتَلِي,استعارة
43,ولَيْلٍ ولَيْلٍ كموج البَحْر مُلْقٍ سُدُولَهُ فَقُلْتُ لَهُ ألَا أيُّها اللَّيْلُ الطَّوِيْلُ فَيَا لَكَ كأنَّ نُجُومَهُ عليَّ بأنْوَاعِ الهُمُومِ لِيَبْتَلِي,التفات
44,لـــمَّا تَمَطَّى بِصُلْبِهِ وأرْدَفَ أعْجَازًا ونَاءَ بِكَلْكَلِ,استعارة
44,فَقُلْتُ لَهُ,استعارة
44,فَقُلْتُ لَهُ لـــمَّا تَمَطَّى بِصُلْبِهِ ألَا أيُّها اللَّيْلُ الطَّوِيْلُ ألا انْجَلِي وأرْدَفَ أعْجَازًا ونَاءَ بِكَلْكَلِ بِصُبْح وما الإصْبَاحُ فِيْكَ بأمْثَلِ,تضمين (جريان)
44,فَقُلْتُ لَهُ لـــمَّا تَمَطَّى بِصُلْبِهِ ألَا أيُّها اللَّيْلُ الطَّوِيْلُ ألا انْجَلِي فَيَا لَكَ من لَيْلٍ كأنَّ نُجُومَهُ وأرْدَفَ أعْجَازًا ونَاءَ بِكَلْكَلِ بِصُبْح وما الإصْبَاحُ فِيْكَ بأمْثَلِ بِكُلِّ مُغَارِ الفَتْلِ شُدَّتْ بِيَذْبُلِ,المراجعة
45,اللَّيْلُ الطَّوِيْلُ,استعارة
45,اللَّيْلُ بِصُبْح,طباق
45,بِصُبْح الإصْبَاحُ,اشتقاق
45,ألا انْجَلِي بِصُبْح وما الإصْبَاحُ فِيْكَ بأمْثَلِ,الرجوع
45,انْجَلِي,استعارة
46,فَيَا لَكَ من لَيْلٍ كأنَّ نُجُومَهُ بِكُلِّ مُغَارِ الفَتْلِ شُدَّتْ بِيَذْبُلِ,تشبيه
46,مُغَارِ الفَتْلِ,كناية
46,فَيَا لَكَ من لَيْلٍ كأنَّ نُجُومَهُ بِكُلِّ مُغَارِ الفَتْلِ شُدَّتْ بِيَذْبُلِ,كناية
46,فَيَا لَكَ من لَيْلٍ كأنَّ نُجُومَهُ,التفات
47,مصَامِها,استعارة
47,بأمْرَاسِ كَتَّانٍ إلى صُمِّ جَنْدَلِ كأنَّ الثُّريَّا عُلِّقَتْ في مصَامِها,تشبيه
47,بأمْرَاسِ كَتَّانٍ إلى صُمِّ جَنْدَلِ كأنَّ الثُّريَّا عُلِّقَتْ في مصَامِها,مبالغة
47,بأمْرَاسِ كَتَّانٍ إلى صُمِّ جَنْدَلِ كأنَّ الثُّريَّا عُلِّقَتْ في مصَامِها,كناية
47,صُمِّ جَنْدَلِ,استعارة
48,على كَاهِلٍ مِنِّي ذَلُولٍ مُرَجَّلِ وقِربَةِ أقْوَامٍ جَعَلْتُ عِصَامِهَا,كناية
48,على كَاهِلٍ مِنِّي ذَلُولٍ مُرَجَّلِ وقِربَةِ أقْوَامٍ جَعَلْتُ عِصَامِهَا,استعارة
48,على كَاهِلٍ مِنِّي جَعَلْتُ عِصَامِهَا,كناية
48,كَاهِلٍ ذَلُولٍ,استعارة
48,كَاهِلٍ مُرَجَّلِ,استعارة
49,ووادٍ كَجَوُفِ العَيْرِ قَفرٍ,تشبيه
49,به الذِّئْبُ يَعْوِي كالخَلِيع المُعَيَّلِ,تشبيه
49,به الذِّئْبُ يَعْوِي كالخَلِيع المُعَيَّلِ ووادٍ كَجَوُفِ العَيْرِ قَفرٍ قَطَعْتُهُ,كناية
49,عَوَى يَعْوِي,اشتقاق
49,فقلتُ له لمَّا عَوَى إنَّ شَأنَنَا كِلًانَا إذَا ما نَالَ شَيْئًا أفَاتَهُ به الذِّئْبُ يَعْوِي كالخَلِيع المُعَيَّلِ طَوِيْلُ العَنَا إنْ كُنْتَ لـــمّا تَمَوَّلِ ومَنْ يَحُتَرِثْ حَرْثِي وحَرْثَكَ يُهْزَلِ ووادٍ كَجَوُفِ العَيْرِ قَفرٍ قَطَعْتُهُ,التفات
49,فقلتُ له لمَّا عَوَى إنَّ شَأنَنَا كِلًانَا إذَا ما نَالَ شَيْئًا أفَاتَهُ به الذِّئْبُ يَعْوِي كالخَلِيع المُعَيَّلِ طَوِيْلُ العَنَا إنْ كُنْتَ لـــمّا تَمَوَّلِ ومَنْ يَحُتَرِثْ حَرْثِي وحَرْثَكَ يُهْزَلِ ووادٍ كَجَوُفِ العَيْرِ قَفرٍ قَطَعْتُهُ,مبالغة
49,ووادٍ قَطَعْتُهُ,استعارة
50,فقلتُ له لمَّا عَوَى إنَّ شَأنَنَا كِلًانَا إذَا ما نَالَ شَيْئًا أفَاتَهُ طَوِيْلُ العَنَا إنْ كُنْتَ لـــمّا تَمَوَّلِ ومَنْ يَحُتَرِثْ حَرْثِي وحَرْثَكَ يُهْزَلِ,المراجعة
50,عَوَى العَنَا,جناس
50,طَوِيْلُ العَنَا,استعارة
50,شَأنَنَا,مجاز
50,تَمَوَّلِ,استعارة
51,يَحُتَرِثْ حَرْثِي وحَرْثَكَ,اشتقاق
51,حَرْثِي وحَرْثَكَ,تكرار (عام)
51,ومَنْ يَحُتَرِثْ حَرْثِي وحَرْثَكَ,استعارة
51,نَالَ أفَاتَهُ,طباق
51,ومَنْ يَحُتَرِثْ حَرْثِي وحَرْثَكَ,تشبيه
52,والطَّيْرُ في وُكُنَاتِهَا,كناية
52,بمنجردٍ,كناية
52,بمنجردٍ,استعارة
52,قَيْدِ الأوَابِدِ,استعارة
52,قَيْدِ الأوَابِدِ,مبالغة
52,الأوَابِدِ,كناية
53,مِكَرٍّ مِفَرٍّ,طباق
53,مُقبِلٍ مُدبِرٍ,طباق
53,مِكَرٍّ مِفَرٍّ مُقبِلٍ مُدبِرٍ مَعاً,مبالغة
53,مِكَرٍّ مِفَرٍّ مُقبِلٍ مُدبِرٍ مَعاً,كناية
53,مِكَرٍّ مِفَرٍّ مُقبِلٍ مُدبِرٍ مَعاً كَجُلمُودِ صَخْرٍ حَطَّهُ السَّيْلُ مِنْ عَلِ,تشبيه
54,كُمَيْتٍ,كناية
54,يَزِلُّ زَلَّتِ,اشتقاق
54,يَزِلُّ اللِّبْدُ,مجاز
54,زَلَّتِ الصَّفْوَاءُ بِالمُتَنَزَّلِ,مجاز
54,بِالمُتَنَزَّلِ,كناية
54,كُمَيْتٍ يَزِلُّ اللِّبْدُ عَنْ حَالِ مَتْنِهِ كَمَا زَلَّتِ الصَّفْوَاءُ بِالمُتَنَزَّلِ,تشبيه
54,يَزِلُّ يَزِلُّ,تكرار (عام)
55,الذَّبْلِ,استعارة
55,على الذَّبْلِ جَيَّاشٌ كأنَّ اهْتِزَامَهُ إذا جَاشَ فِيهِ حَمْيُهُ غَلْيُ مِرْجَلِ,مبالغة
55,جَيَّاشٌ جَاشَ,اشتقاق
55,جَيَّاشٌ,استعارة
55,اهْتِزَامَهُ,استعارة
55,جَاشَ حَمْيُهُ,مبالغة
55,كأنَّ اهْتِزَامَهُ إذا جَاشَ فِيهِ حَمْيُهُ غَلْيُ مِرْجَلِ,تشبيه
55,جَاشَ حَمْيُهُ,استعارة
56,السَّابِحَاتُ,استعارة
56,السَّابِحَاتُ,كناية
56,أثَرْنَ بالكَدِيدِ المُرَكَّلِ,كناية
56,مِسَحٍّ,كناية
57,الخِفُّ المُثَقَّلِ,طباق
57,يَزِلُّ الغُلَامُ الخِفُّ عَنْ صَهَواتِهِ,كناية
57,ويُلوِي بأثْوَابِ العَنَيْفِ المُثَقَّلِ,كناية
58,دَرِيْرٍ,استعارة
58,أمَرَّهُ تَتَابعُ كَفَّيْهِ,مجاز
58,أمَرَّهُ,مجاز
58,دَرِيْرٍ كَخُذْرُوفِ الوَليْدِ أمَرَّهُ تَتَابعُ كَفَّيْهِ بِخَيْطٍ مُوَصَّلِ,تشبيه
59,لَهُ أيطلَا ظَبْيٍ,تشبيه
59,لَهُ وسَاقَا نَعَامَةٍ,تشبيه
59,وإرخَاءُ سرْحَانٍ لَهُ,تشبيه
59,وتَقْرِيْبُ تَتْفُلِ,تشبيه
60,اسْتَدْبَرْتَهُ,تجريد
60,بِضَافٍ,كناية
60,سَدَّ فَرْجَهُ,كناية
61,كأنَّ سَرَاتَهُ لَدَى البَيْتِ قَائمًا مَدَاكُ عَرُوسٍ,تشبيه
61,كأنَّ سَرَاتَهُ لَدَى البَيْتِ قَائمًا أوْ صَلَايَةُ حَنْظَلِ,تشبيه
62,الهَادِيَاتِ,كناية
62,كَأنَّ دِمَاءَ الهَادِيَاتِ بِنَحْرِهِ عُصَارَةُ حِنَّاءٍ بِشَيْبٍ مُرَجَّلِ,تشبيه
62,بِشَيْبٍ,مجاز
62,كَأنَّ دِمَاءَ الهَادِيَاتِ بِنَحْرِهِ عُصَارَةُ حِنَّاءٍ بِشَيْبٍ مُرَجَّلِ,كناية
62,كَأنَّ دِمَاءَ الهَادِيَاتِ بِنَحْرِهِ عُصَارَةُ حِنَّاءٍ بِشَيْبٍ مُرَجَّلِ,مبالغة
63,فَعَنَّ لَنَا سِرْبٌ سِرْبٌ كأنَّ كأنَّ نِعَاجَهُ نِعَاجَهُ عذَارَى دَوَارٍ في مُلاءٍ مُذَيَّلِ,تشبيه
63,فَعَنَّ فَأدْبَرْن,طباق
63,مُلاءٍ مُذَيَّلِ,استعارة
64,فَأدْبَرْن كالجَزْعِ المُفَصَّل بَيْنَهُ بِجِيْدِ مُعَمٍّ في العَشِيْرَةِ مُخْوَلِ,تشبيه
64,بِجِيْدِ مُعَمٍّ في العَشِيْرَةِ مُخْوَلِ,كناية
64,مُعَمٍّ مُخْوَلِ,التقسيم
64,فَأدْبَرْن كالجَزْعِ المُفَصَّل ودُونَهُ جَوَاحِرُهَا في صَرَّةٍ لم تَزَيَّلِ,طباق
65,بالهَادِيَاتِ جَوَاحِرُهَا,طباق
66,فَعَادَى عِدَاءً,اشتقاق
66,ثَوْرٍ وَنَعْجَةٍ,طباق
66,يُنْضَحْ بِمَاءٍ,استعارة
66,فيُغْسَلِ,استعارة
67,صَفِيْفَ شِوَاءٍ أو قَدِيْرٍ مُعَجَّلِ فظَلَّ طُهَاةُ اللَّحْمِ مِنْ بَيْنِ مُنْضِجٍ,كناية
68,ورُحْنَا يَكَادُ الطَّرْفُ يَقْصُرُ دُوْنَهُ مَتَى مَا تَرَقَّ العَيْنُ فِيْه تَسَهَّلِ,مبالغة
68,يَكَادُ الطَّرْفُ يَقْصُرُ,مجاز
68,تَرَقَّ العَيْنُ,مجاز
68,العَيْنُ فِيْه تَسَهَّلِ,مجاز
68,تَرَقَّ تَسَهَّلِ,طباق
68,ورُحْنَا ورُحْنَا يَكَادُ الطَّرْفُ يَقْصُرُ دُوْنَهُ مَتَى مَا تَرَقَّ العَيْنُ فِيْه تَسَهَّلِ,كناية
68,الطَّرْفُ,كناية
69,فَبَات وبَاتَ,تكرار (عام)
69,وبَاتَ بِعَيْنِيْ قَائِمًا غَيْرَ مُرْسَلِ,كناية
69,وبَاتَ بِعَيْنِيْ قَائِمًا غَيْرَ مُرْسَلِ,مبالغة
69,غَيْرَ مُرْسَلِ,كناية
69,قَائِمًا مُرْسَلِ,طباق
69,غَيْرَ مُرْسَلِ,مجاز
70,حَبِيٍّ,كناية
70,مُكَلَّلِ,استعارة
70,أصَاحَ تَرَى بَرْقًا أرِيْكَ وَمِيْضَهُ يُضِيءُ سَنَاهُ كَلَمْعِ اليَدَيْنِ في حَبِيٍّ مُكَلَّلِ,تشبيه
70,تَرَى بَرْقًا أو مَصَابِيْحُ راهبٍ أمَالَ السَّلِيْطَ بالذُّبالِ المُفَتّلِ,تشبيه
71,يُضِيءُ سَنَاهُ,مجاز
71,بالذُّبالِ المُفَتّلِ,كناية
72,مُتَأمَّلِ,كناية
73,عَلَا قَطَنًا أيْمَنُ صَوْبهِ,مجاز
73,صَوْبهِ,كناية
73,أيْمَنُ وَأيْسرُهُ,طباق
73,عَلَا قَطَنًا بالشَّيْمِ أيْمَنُ صَوْبهِ وَأيْسرُهُ على السِّتَارِ فَيَذْبُلِ,كناية
73,عَلَا عَلَا قَطَنًا قَطَنًا بالشَّيْمِ بالشَّيْمِ أيْمَنُ صَوْبهِ وَأيْسرُهُ على السِّتَارِ فَيَذْبُلِ,كناية
74,يَكُبُّ عَلَى الأذْقَانِ دَوْحَ الكَنَهْبُلِ,استعارة
74,يَكُبُّ عَلَى الأذْقَانِ دَوْحَ الكَنَهْبُلِ,كناية
75,نَفَيانِهِ,كناية
75,نَفَيانِهِ,استعارة
75,ومَرَّ من نَفَيانِهِ,مجاز
75,فأنْزَلَ,مجاز
75,فأنْزَلَ مَنْزِلِ,جناس
75,فأنْزَلَ مَنْزِلِ,رد الأعجاز على الصدور
75,فأنْزَلَ,كناية
75,فأنْزَلَ مِنْهُ العُصْمَ مِنْ كلِّ مَنْزِلِ,كناية
75,العُصْمَ,كناية
76,وتَيْمَاءَ لَمْ يَتْرُكْ بِهَا جِذْعَ نَخْلَةٍ,كناية
76,وتَيْمَاءَ وتَيْمَاءَ لَمْ يَتْرُكْ بِهَا جِذْعَ نَخْلَةٍ وَلَا أجُمًا إلَّا مَشِيْدًا بجَنْدَلِ,كناية
76,وتَيْمَاءَ لَمْ يَتْرُكْ بِهَا جِذْعَ وَلَا أجُمًا إلَّا مَشِيْدًا بجَنْدَلِ,كناية
76,لَمْ يَتْرُكْ بِهَا جِذْعَ نَخْلَةٍ,مجاز
77,كأنَّ ثَبِيَرًا في عَرانِيْنِ وَبْلِهِ كَبِيْرُ أنَاسٍ في بِجَادٍ مُزَمَّلِ,تشبيه
77,كَبِيْرُ أنَاسٍ,كناية
78,رَأْسِ المُجَيْمِرِ,استعارة
78,كأنَّ ذُرَا رَأْسِ المُجَيْمِرِ غُدْوَةً من السَّيْلِ وَالغُثَّاءِ فَلْكَةُ مِغْزَلِ,تشبيه
79,بَعَاعَهُ,استعارة
79,بَعَاعَهُ,كناية
79,ذِيْ العِيَابِ,كناية
79,وألْقَى بِصَحْرَاءِ الغَبِيْطِ بَعَاعَهُ نُزُولَ اليَمَانِيِ ذِيْ العِيَابِ الـمُحَمَّلِ,تشبيه
80,سُلًافًا,كناية
80,رَحِيقٍ,كناية
80,رَحِيقٍ مُفَلْفَلِ,استعارة
80,كَأنَّ مَكَاكيَّ الجِوَاءِ غُدَيَّةً صُبِحْنَ سُلًافًا مِنْ رَحِيقٍ مُفَلْفَلِ,تشبيه
80,رَحِيقٍ مُفَلْفَلِ,كناية
80,غُدَيَّةً عَشِيَّةً,طباق
80,صُبِحْنَ سُلًافًا مِنْ رَحِيقٍ مُفَلْفَلِ,كناية
81,كأنَّ السِّبَاعَ فيه غَرْقَى عَشِيَّةً بأرجَائِهِ القُصْوَى أنَابِيْشُ عُنْصُلِ,تشبيه
370,تَرَى تَرَى,تكرار (عام)
830,بِرَيَّا رَيَّا,تكرار (عام)
4346,ولَيْلٍ لَيْلٍ,تكرار (عام)
6265,الهَادِيَاتِ بالهَادِيَاتِ,تكرار (عام)
29,فَلَمَّا أجَزْنَا سَاحَةَ الحَيِّ وانْتَحَى هَصَرْتُ بِفْودَي رَأْسِهَا فَتَمَايَلَتْ بِنَا بَطْنُ خَبْتٍ ذي قِفَافٍ عَقَنْقَلِ عَلَيَّ هَضِيْمَ الكَشْحِ رَيَّا المُخَلْخَلِ,تضمين (جريان)
