رقم البيت,التعبير البلاغي,العنصر البلاغي
15.0,جناس التصريف,تقارب في البنية الصرفية يعطي جرْسًا صوتيًا متناغمًا في المعنى والحركة.
16.0,كأنه… سفّود شرب,تشبيه
16.0,كناية,كناية عن شدة بروز العظم أو السهم بحيث يشبه شيئًا معدنيًا بارزًا.
16.0,جناس التصريف,تقارب صرفي في الوزن والإيقاع يمنح البيت جرْسًا متناغمًا.
17.0,حالك اللون,كناية
17.0,استعارة,"صوّر اختباره لصلابة القرن (الرّوق) بفعل ""يعجم"" وكأنه يختبر طعم الشيء أو جوهره، تشخيصًا للقوة والتحقق."
17.0,طباق سلب,تقابل بين الصدق (الصحة والاستقامة) ونفي العِوَج (غير ذي أوَد) لتأكيد تمام الصلابة.
18.0,ولا سبيل إلى عقل ولا قود,طباق سلب
18.0,كناية,كناية عن شدّة الهلاك والسقوط المفاجئ لصاحبه.
18.0,توشيع,توسيع للمعنى بذكر عدة ألفاظ مترابطة (السبيل، العقل، القود) لبيان انسداد جميع الخيارات.
19.0,قالت له النفس,استعارة
19.0,طباق سلب,تقابل بين السلامة و الصّدّ مع نفيهما، لإبراز انعدام الحماية من المولى.
19.0,كناية,كناية عن اليأس التام وغياب الأمل في النجاة أو الفعل.
20.0,الأدنى / البعد,طباق إيجاب
20.0,كناية,كناية عن السعي للوصول إلى كرم النعمان ومكانته.
20.0,مبالغة,مبالغة في مدح النعمان ببيان علوّ فضله على جميع الناس.
21.0,يشبهه / من أحد,طباق سلب
21.0,مبالغة,مبالغة في نفي وجود من يماثله بين الناس.
21.0,كناية,كناية عن التعميم الكامل؛ أي أنه لا يستثني أحداً من المقارنة، مما يعظّم الفضل.
22.0,إلا سليمان,طباق سلب
22.0,كناية,كناية عن المكانة العظيمة لسليمان وأن أمره نافذ في البرية كلها بأمر الله.
22.0,استعارة,صوّر تسخير البرية وجمعها وضبطها كما تُعدّ الأشياء وتُحصر، وهو تشخيص للسيطرة والإحكام.
23.0,وخيّس الجن!,استعارة
23.0,كناية,كناية عن شدّة البناء وتنظيمه، فالصّفاح والعمد يرمزان للقوة والمتانة في البناء.
23.0,توشيع,توسّع في المعنى بإظهار نفوذ الأمر الإلهي على جميع الجهات دون استثناء.
24.0,كما أطاعك,تكرار
24.0,كناية,كناية عن أثر الطاعة وفائدتها، أي أن طاعته تجلب له الخير والهداية.
24.0,استعارة,صوّر الإرشاد للهداية كأنّه فعل ملموس يُقود الإنسان إلى الرشد، لتجسيد معنى التوجيه.
25.0,فعاقبه معاقبةً,استعارة
25.0,طباق سلب,تقابل بين العقاب وعدم الجلوس على الجروح (الضماد) لإبراز شدة العقوبة ومنع الظلم من الاستمرار.
25.0,توشيع,توسعة المعنى بإظهار أن العقوبة شاملة لكل من عصى، أي التأكيد على ردع كل المخالفين.
26.0,سبق الجواد,تشبيه
26.0,طباق سلب,تقابل بين التفوّق والاستثناء لإبراز التفرد والسبق على غيره.
26.0,استعارة,صوّر السيطرة أو الاستيلاء على المكان أو الوقت كأنه ملك ملموس، لتجسيد القوة والانفراد.
27.0,من المواهب لا تُعطى على نكد,طباق سلب
27.0,كناية,كناية عن اللطف والجمال في العطاء، أي أن العطاء يكون مصحوبًا بالبهجة والجمال.
27.0,توشيع,توسيع المعنى بإظهار أن الهبة ليست منفردة بل مصحوبة بتبعات جميلة تزيد من قيمتها.
28.0,الواهب المائة المعكاء,مبالغة
28.0,استعارة,صوّر الزينة كأنها تصرف ظاهر على الأوبار، لتجسيد الجمال والبهاء بشكل محسوس.
28.0,تشبيه,شبّه وضوح الزينة في الأوبار بالعلو والظهور، لإبراز جمالها وشدّة بروزها.
29.0,الأدم قد خُيّست,كناية
29.0,استعارة,صوّر الحبال والفُتل كأنها مشدودة ومهيأة بعناية كأنها شخص ينفذ العمل، لتجسيد التنظيم والترتيب.
29.0,توشيع,توسعة المعنى بإظهار تضافر الجهود في ضبط وترتيب الخيام أو المعدات.
30.0,كالغزلان بالجرَد,تشبيه
30.0,استعارة,صوّر الريط والبرد كعامل يوجه أو يحرك الذيول، لتجسيد تأثير الظروف الطبيعية على الحركة.
30.0,طباق إيجاب,تقابل بين الحيوان والراكضات لإبراز السرعة والخفة، مع الإيجابية في الحركة والانسياب.
31.0,كالطير تنجو من الشؤبوب,تشبيه
31.0,كناية,كناية عن شدة الحركة وسرعة الانقضاض، أي أن الخيول تتحرك بعنف وانسيابية في الميدان.
31.0,استعارة,صوّر السهام أو الطلقات كأنها برد يضرب الأجساد، لتجسيد الخطر الذي تنجو منه الخيول.
32.0,كحكم فتاة الحي,تشبيه
32.0,استعارة,صوّر الحمام كأنه قابل للثَمَد أو المراقبة، لتجسيد الانتباه واليقظة.
32.0,توشيع,توسعة المعنى بإظهار علاقة النظر بالحكم، أي أن الحكم يتأثر بالانتباه والملاحظة الدقيقة.
33.0,مثل الزجاجة,تشبيه
33.0,كناية,كناية عن نقاء الشيء أو عدم تلونه بالضرر، أي أنه صافٍ وواضح دون شوائب.
33.0,استعارة,صوّر الحركة كأنها حافة محكمة تلتف حول الشيء، لتجسيد الحذر والانتباه في المراقبة.
34.0,ألا ليتما,أسلوب إنشائي (تمني)
34.0,تشبيه,شبّه مشاركة الحمام بنصيب مشترك مع الزوجة أو المقربين، لتصوير القرب والمشاركة في المنفعة.
34.0,توشيع,توسيع المعنى بإظهار امتداد التمني ليشمل جزءًا من الحمام، أي التفصيل في الرغبة.
35.0,تسعاً وتسعين لم تنقص ولم تزد,مبالغة
35.0,توشيع,توسيع المعنى بإظهار العملية الحسابية المزدوجة، أولاً بالحساب ثم بالتأكيد.
35.0,كناية,كناية عن التأكد والثقة في الحساب، أي أن النتيجة دقيقة وصحيحة كما توقع.
36.0,فكمّلت مائةً,مبالغة
36.0,توشيع,توسيع المعنى بإظهار السرعة في الحساب إلى جانب الكمال في العدد.
36.0,كناية,كناية عن اكتمال المجموعة أو المجموع بما فيها من العناصر، أي أن كل شيء محسوب بدقة.
37.0,فلا لعمر الذي مسّحت كعبته,قسم
37.0,استعارة,صوّر ما تم هريقه أو أُهدر كأنه على الأنصاب، لتجسيد الضرر والدمار الواقع.
37.0,توشيع,توسعة المعنى بإظهار تصرف الشاعر/الفعل على مستويات مختلفة (القدم/الجسد)، لتأكيد التأثير.
38.0,تمسحها ركبان مكة,استعارة
38.0,تشبيه,شبّه الطير بالعائذات، لتصوير الرقة والخفة والقدرة على التحرك بسهولة.
38.0,توشيع,توسيع المعنى بتحديد المسافة بين نقطتين لتأكيد الانتشار والتحرك بينهما.
39.0,ما قلت من سيّيء مما أتيت به,كناية
39.0,استعارة,صوّر رفع السوط كرمز للغضب أو العقاب، لتجسيد التهديد والسيطرة بدون الفعل الفعلي.
39.0,طباق سلب,تقابل بين القول والفعل المهدد لنفي الفعل وتأكید الامتناع عن العقاب.
40.0,قرع على الكبد,استعارة
40.0,كناية,كناية عن المعاناة والمشقة التي سببها قول هؤلاء الأقوام.
40.0,توشيع,توسيع المعنى بتكرار الفعل والاسم لإبراز أثر القول على النفس.
41.0,فعاقبني ربي معاقبةً,استعارة
41.0,كناية,كناية عن الرضا والسكينة النفسية لمن يحل محل المخطئ أو يرد الحقوق.
41.0,طباق سلب,تقابل بين العقاب والرضا لإبراز التناقض بين الجزاء والمكافأة.
42.0,ولا قرار على زأر من الأسد,تشبيه
42.0,كناية,كناية عن تأكيد الوعد وتأكيد الاطمئنان للخبر الوارد.
42.0,توشيع,توسيع المعنى بإظهار عملية الإعلام بالخبر والوعد، أي التأكيد المتعدد للخبر.
43.0,فداءٌ لك الأقوام كلهم,مبالغة
43.0,طباق سلب,تقابل بين العطاء والإثم (عدم الحصول على مردود) لنفي أي نقصان، لإظهار كمال العطاء.
43.0,توشيع,توسيع المعنى بذكر الناس والمال والولد لتأكيد شمول العطاء وتمامه.
44.0,لا تقذفني برُكنٍ لا كفاء له,استعارة
44.0,كناية,كناية عن كثرة محاولات الأعداء في الإيقاع به، أي أنهم يهددونه بأساليب متعددة.
44.0,طباق سلب,تقابل بين القذف والحماية/التهديد لإبراز التناقض بين القوة والضعف.
45.0,ترمي أواذيه العبرين بالزبد,استعارة
45.0,كناية,كناية عن قوة الفرات وسرعة جريانه عند امتلاء الغور أو الارتفاع المفاجئ للمياه.
45.0,تشبيه,شبّه أثر الماء المتحرك بالغضب والقوة المتطايرة، لتصوير شدة الموج والحركة.
46.0,يركام من الينبوت والخضد,استعارة
46.0,كناية,كناية عن وفرة الماء والموارد في كل وادٍ، لتأكيد شمولية الامتداد والطاقة الطبيعية.
46.0,توشيع,توسعة المعنى بإظهار الدور الشامل لكل واد في إمداد الجب، أي شمولية القوة والطاقة.
47.0,معتصماً بالخيزرانة,استعارة
47.0,كناية,كناية عن أثر الخوف على التصرف، أي أن الخوف يسيطر على كل حركاته وسلوكه.
47.0,توشيع,توسعة المعنى بتحديد الأماكن التي يمتد إليها الخوف، لتأكيد شمولية الفزع والارتجاف.
48.0,أجود منه سيب نافلة,مبالغة
48.0,طباق سلب,تقابل بين العطاء اليوم والغد لنفي التقييد، لإبراز استمرارية الكرم وعدم نفاد العطاء.
48.0,توشيع,توسيع المعنى بذكر اليوم والغد لتأكيد ديمومة العطاء.
49.0,فإن تسمع به حسناً,كناية
49.0,طباق سلب,تقابل بين الاستقبال الإيجابي للثناء ونفي اللعن، لإبراز حسن النية وعدم الرد السلبي.
49.0,استعارة,صوّر رفض اللعن والرد السلبي كحماية محكمة، كما يُقيّد بالسّيف أو الصّفد.
50.0,إلا تكن نفعت,كناية
50.0,طباق سلب,تقابل بين النفع والنكد لإبراز التضاد بين الخير والشر، أي أن صاحبها يشترك في السوء إذا لم يكن نافعًا.
50.0,أسلوب إنشائي (نداء/تنبيه),استخدم للتنبيه والتأكيد على أهمية العذرة وفائدتها.
